crop,feature,coefficient,interpretation
cocoa,warm,-0.01779840265683494,Pooled diagnostic association; not a causal estimate
cocoa,warm_lag1,0.02668581250009776,Pooled diagnostic association; not a causal estimate
cocoa,warm_lag2,-0.011001514797403553,Pooled diagnostic association; not a causal estimate
cocoa,cold,-0.06271070840392785,Pooled diagnostic association; not a causal estimate
cocoa,extreme,-0.015336149445523096,Pooled diagnostic association; not a causal estimate
cocoa,cold_lag1,0.0239929562724256,Pooled diagnostic association; not a causal estimate
cocoa,cold_lag2,-0.005888408001052378,Pooled diagnostic association; not a causal estimate
coconut,warm,-0.04386060603302121,Pooled diagnostic association; not a causal estimate
coconut,warm_lag1,-0.014398826753792776,Pooled diagnostic association; not a causal estimate
coconut,warm_lag2,-0.020239372943956974,Pooled diagnostic association; not a causal estimate
coconut,cold,-0.023583251763579387,Pooled diagnostic association; not a causal estimate
coconut,extreme,0.009250114754289263,Pooled diagnostic association; not a causal estimate
coconut,cold_lag1,0.029396867864619498,Pooled diagnostic association; not a causal estimate
coconut,cold_lag2,-0.019733816026818847,Pooled diagnostic association; not a causal estimate
coffee,warm,-0.029706980343952208,Pooled diagnostic association; not a causal estimate
coffee,warm_lag1,0.033655108547862016,Pooled diagnostic association; not a causal estimate
coffee,warm_lag2,-0.018422718951895758,Pooled diagnostic association; not a causal estimate
coffee,cold,-0.017842083153024834,Pooled diagnostic association; not a causal estimate
coffee,extreme,0.00860925229730404,Pooled diagnostic association; not a causal estimate
coffee,cold_lag1,0.009840250905040013,Pooled diagnostic association; not a causal estimate
coffee,cold_lag2,-0.0005159114268877554,Pooled diagnostic association; not a causal estimate
maize,warm,0.0011587980002982982,Pooled diagnostic association; not a causal estimate
maize,warm_lag1,-0.009749823685273598,Pooled diagnostic association; not a causal estimate
maize,warm_lag2,0.02571720956414178,Pooled diagnostic association; not a causal estimate
maize,cold,0.0067452498860424625,Pooled diagnostic association; not a causal estimate
maize,extreme,0.023979948931643222,Pooled diagnostic association; not a causal estimate
maize,cold_lag1,0.00085338179652822,Pooled diagnostic association; not a causal estimate
maize,cold_lag2,-0.010925458760785935,Pooled diagnostic association; not a causal estimate
palm,warm,-0.008654478782712964,Pooled diagnostic association; not a causal estimate
palm,warm_lag1,-0.0070742738002854836,Pooled diagnostic association; not a causal estimate
palm,warm_lag2,0.028672395359748717,Pooled diagnostic association; not a causal estimate
palm,cold,0.016541404061266276,Pooled diagnostic association; not a causal estimate
palm,extreme,0.00030242321864331706,Pooled diagnostic association; not a causal estimate
palm,cold_lag1,0.017519962184968155,Pooled diagnostic association; not a causal estimate
palm,cold_lag2,-0.02888252358944427,Pooled diagnostic association; not a causal estimate
rice,warm,-0.012790829417798173,Pooled diagnostic association; not a causal estimate
rice,warm_lag1,-0.029939701277382897,Pooled diagnostic association; not a causal estimate
rice,warm_lag2,0.016311612122794802,Pooled diagnostic association; not a causal estimate
rice,cold,0.019386157536330228,Pooled diagnostic association; not a causal estimate
rice,extreme,-0.010190000285004159,Pooled diagnostic association; not a causal estimate
rice,cold_lag1,-0.010658216166567928,Pooled diagnostic association; not a causal estimate
rice,cold_lag2,-0.014605938334197653,Pooled diagnostic association; not a causal estimate
sugar,warm,-0.004273365508035356,Pooled diagnostic association; not a causal estimate
sugar,warm_lag1,0.0022639899486561004,Pooled diagnostic association; not a causal estimate
sugar,warm_lag2,0.014375626404375941,Pooled diagnostic association; not a causal estimate
sugar,cold,0.0015303589964466683,Pooled diagnostic association; not a causal estimate
sugar,extreme,-0.012318659692521584,Pooled diagnostic association; not a causal estimate
sugar,cold_lag1,0.02714209385985038,Pooled diagnostic association; not a causal estimate
sugar,cold_lag2,-0.0383744008342881,Pooled diagnostic association; not a causal estimate
