country,crop,series,first_year,last_year,n_years,official_share,eligible,evidence_grade
AUS,maize,AUS:maize,1961,2024,63,1.0,True,mostly_official
AUS,rice,AUS:rice,1961,2024,63,1.0,True,mostly_official
AUS,sugar,AUS:sugar,1961,2024,63,1.0,True,mostly_official
FJI,cocoa,FJI:cocoa,1961,2024,63,0.875,True,mostly_official
FJI,coconut,FJI:coconut,1985,2024,39,0.55,True,mixed
FJI,coffee,FJI:coffee,1962,2024,62,0.2698412698412698,True,mostly_estimated_or_imputed
FJI,maize,FJI:maize,1961,2024,63,0.75,True,mixed
FJI,rice,FJI:rice,1961,2024,63,0.921875,True,mostly_official
FJI,sugar,FJI:sugar,1961,2024,63,1.0,True,mostly_official
IDN,cocoa,IDN:cocoa,1961,2024,63,1.0,True,mostly_official
IDN,coconut,IDN:coconut,1961,2024,63,0.0,True,mostly_estimated_or_imputed
IDN,coffee,IDN:coffee,1961,2024,63,1.0,True,mostly_official
IDN,maize,IDN:maize,1961,2024,63,1.0,True,mostly_official
IDN,palm,IDN:palm,1961,2024,63,0.09375,True,mostly_estimated_or_imputed
IDN,rice,IDN:rice,1961,2024,63,0.859375,True,mostly_official
IDN,sugar,IDN:sugar,1961,2024,63,0.21875,True,mostly_estimated_or_imputed
MYS,cocoa,MYS:cocoa,1961,2024,63,0.96875,True,mostly_official
MYS,coconut,MYS:coconut,1961,2024,63,0.296875,True,mostly_estimated_or_imputed
MYS,coffee,MYS:coffee,1961,2024,63,0.765625,True,mixed
MYS,maize,MYS:maize,1961,2024,32,0.29411764705882354,True,mostly_estimated_or_imputed
MYS,palm,MYS:palm,1961,2024,63,0.28125,True,mostly_estimated_or_imputed
MYS,rice,MYS:rice,1961,2024,63,1.0,True,mostly_official
MYS,sugar,MYS:sugar,1961,2024,63,0.265625,True,mostly_estimated_or_imputed
PHL,cocoa,PHL:cocoa,1961,2024,63,1.0,True,mostly_official
PHL,coconut,PHL:coconut,1961,2024,63,1.0,True,mostly_official
PHL,coffee,PHL:coffee,1961,2024,63,0.953125,True,mostly_official
PHL,maize,PHL:maize,1961,2024,63,0.984375,True,mostly_official
PHL,palm,PHL:palm,1961,2024,63,0.390625,True,mostly_estimated_or_imputed
PHL,rice,PHL:rice,1961,2024,63,1.0,True,mostly_official
PHL,sugar,PHL:sugar,1961,2024,63,0.53125,True,mixed
PNG,cocoa,PNG:cocoa,1961,2024,63,0.46875,True,mostly_estimated_or_imputed
PNG,coconut,PNG:coconut,1961,2024,63,0.0,True,mostly_estimated_or_imputed
PNG,coffee,PNG:coffee,1961,2024,63,0.703125,True,mixed
PNG,maize,PNG:maize,1961,2024,63,0.40625,True,mostly_estimated_or_imputed
PNG,palm,PNG:palm,1971,2024,53,0.2777777777777778,True,mostly_estimated_or_imputed
PNG,rice,PNG:rice,1961,2024,63,0.25,True,mostly_estimated_or_imputed
PNG,sugar,PNG:sugar,1961,2024,63,0.0,True,mostly_estimated_or_imputed
SLB,cocoa,SLB:cocoa,1961,2024,63,0.78125,True,mixed
SLB,coconut,SLB:coconut,1961,2024,63,0.359375,True,mostly_estimated_or_imputed
SLB,palm,SLB:palm,1961,2024,63,0.265625,True,mostly_estimated_or_imputed
SLB,rice,SLB:rice,1961,2024,59,0.4426229508196721,True,mostly_estimated_or_imputed
THA,cocoa,THA:cocoa,1980,2024,44,0.3111111111111111,True,mostly_estimated_or_imputed
THA,coconut,THA:coconut,1961,2024,63,0.984375,True,mostly_official
THA,coffee,THA:coffee,1961,2024,63,0.828125,True,mostly_official
THA,maize,THA:maize,1961,2024,63,1.0,True,mostly_official
THA,palm,THA:palm,1961,2024,63,0.765625,True,mixed
THA,rice,THA:rice,1961,2024,63,0.96875,True,mostly_official
THA,sugar,THA:sugar,1961,2024,63,0.96875,True,mostly_official
TON,cocoa,TON:cocoa,1983,1989,6,0.0,False,mostly_estimated_or_imputed
TON,coconut,TON:coconut,1961,2024,63,0.0,True,mostly_estimated_or_imputed
TON,coffee,TON:coffee,1983,2024,41,0.023809523809523808,True,mostly_estimated_or_imputed
VNM,cocoa,VNM:cocoa,2019,2024,5,0.0,False,mostly_estimated_or_imputed
VNM,coconut,VNM:coconut,1961,2024,63,1.0,True,mostly_official
VNM,coffee,VNM:coffee,1961,2024,63,0.78125,True,mixed
VNM,maize,VNM:maize,1961,2024,63,0.859375,True,mostly_official
VNM,rice,VNM:rice,1961,2024,63,1.0,True,mostly_official
VNM,sugar,VNM:sugar,1961,2024,63,0.859375,True,mostly_official
VUT,cocoa,VUT:cocoa,1961,2024,63,0.84375,True,mostly_official
VUT,coconut,VUT:coconut,1961,2024,63,0.0,True,mostly_estimated_or_imputed
VUT,coffee,VUT:coffee,1961,2024,63,0.203125,True,mostly_estimated_or_imputed
VUT,maize,VUT:maize,1961,2024,63,0.046875,True,mostly_estimated_or_imputed
VUT,sugar,VUT:sugar,2022,2024,2,0.3333333333333333,False,mostly_estimated_or_imputed
WSM,cocoa,WSM:cocoa,1961,2024,63,0.359375,True,mostly_estimated_or_imputed
WSM,coconut,WSM:coconut,1961,2024,63,0.0,True,mostly_estimated_or_imputed
WSM,coffee,WSM:coffee,1961,2024,63,0.203125,True,mostly_estimated_or_imputed
WSM,sugar,WSM:sugar,1961,2024,63,0.234375,True,mostly_estimated_or_imputed
