year,season,enso,index,month,period,assumed_available_at
1950,DJF,-1.2,roni,1,1950-01-01,1950-03-05
1950,JFM,-1.1,roni,2,1950-02-01,1950-04-05
1950,FMA,-1.0,roni,3,1950-03-01,1950-05-05
1950,MAM,-1.0,roni,4,1950-04-01,1950-06-05
1950,AMJ,-1.0,roni,5,1950-05-01,1950-07-05
1950,MJJ,-0.7,roni,6,1950-06-01,1950-08-05
1950,JJA,-0.4,roni,7,1950-07-01,1950-09-05
1950,JAS,-0.3,roni,8,1950-08-01,1950-10-05
1950,ASO,-0.3,roni,9,1950-09-01,1950-11-05
1950,SON,-0.4,roni,10,1950-10-01,1950-12-05
1950,OND,-0.4,roni,11,1950-11-01,1951-01-05
1950,NDJ,-0.5,roni,12,1950-12-01,1951-02-05
1951,DJF,-0.3,roni,1,1951-01-01,1951-03-05
1951,JFM,0.1,roni,2,1951-02-01,1951-04-05
1951,FMA,0.5,roni,3,1951-03-01,1951-05-05
1951,MAM,0.6,roni,4,1951-04-01,1951-06-05
1951,AMJ,0.6,roni,5,1951-05-01,1951-07-05
1951,MJJ,0.7,roni,6,1951-06-01,1951-08-05
1951,JJA,0.8,roni,7,1951-07-01,1951-09-05
1951,JAS,1.0,roni,8,1951-08-01,1951-10-05
1951,ASO,1.0,roni,9,1951-09-01,1951-11-05
1951,SON,1.0,roni,10,1951-10-01,1951-12-05
1951,OND,0.9,roni,11,1951-11-01,1952-01-05
1951,NDJ,0.7,roni,12,1951-12-01,1952-02-05
1952,DJF,0.7,roni,1,1952-01-01,1952-03-05
1952,JFM,0.3,roni,2,1952-02-01,1952-04-05
1952,FMA,0.5,roni,3,1952-03-01,1952-05-05
1952,MAM,0.2,roni,4,1952-04-01,1952-06-05
1952,AMJ,0.0,roni,5,1952-05-01,1952-07-05
1952,MJJ,-0.4,roni,6,1952-06-01,1952-08-05
1952,JJA,-0.4,roni,7,1952-07-01,1952-09-05
1952,JAS,-0.1,roni,8,1952-08-01,1952-10-05
1952,ASO,0.1,roni,9,1952-09-01,1952-11-05
1952,SON,0.0,roni,10,1952-10-01,1952-12-05
1952,OND,-0.1,roni,11,1952-11-01,1953-01-05
1952,NDJ,0.1,roni,12,1952-12-01,1953-02-05
1953,DJF,0.4,roni,1,1953-01-01,1953-03-05
1953,JFM,0.7,roni,2,1953-02-01,1953-04-05
1953,FMA,0.7,roni,3,1953-03-01,1953-05-05
1953,MAM,0.7,roni,4,1953-04-01,1953-06-05
1953,AMJ,0.9,roni,5,1953-05-01,1953-07-05
1953,MJJ,0.8,roni,6,1953-06-01,1953-08-05
1953,JJA,0.7,roni,7,1953-07-01,1953-09-05
1953,JAS,0.7,roni,8,1953-08-01,1953-10-05
1953,ASO,0.7,roni,9,1953-09-01,1953-11-05
