country,period,variable,value
AUS,1901-01-01,tas,27.62
AUS,1901-02-01,tas,27.36
AUS,1901-03-01,tas,24.97
AUS,1901-04-01,tas,21.63
AUS,1901-05-01,tas,18.02
AUS,1901-06-01,tas,14.08
AUS,1901-07-01,tas,13.08
AUS,1901-08-01,tas,15.38
AUS,1901-09-01,tas,19.54
AUS,1901-10-01,tas,22.33
AUS,1901-11-01,tas,26.61
AUS,1901-12-01,tas,27.93
AUS,1902-01-01,tas,27.55
AUS,1902-02-01,tas,26.95
AUS,1902-03-01,tas,25.48
AUS,1902-04-01,tas,21.98
AUS,1902-05-01,tas,17.94
AUS,1902-06-01,tas,14.54
AUS,1902-07-01,tas,13.82
AUS,1902-08-01,tas,15.37
AUS,1902-09-01,tas,19.2
AUS,1902-10-01,tas,22.7
AUS,1902-11-01,tas,25.91
AUS,1902-12-01,tas,26.57
AUS,1903-01-01,tas,27.87
AUS,1903-02-01,tas,27.1
AUS,1903-03-01,tas,25.6
AUS,1903-04-01,tas,21.48
AUS,1903-05-01,tas,17.4
AUS,1903-06-01,tas,14.48
AUS,1903-07-01,tas,13.5
AUS,1903-08-01,tas,15.5
AUS,1903-09-01,tas,18.61
AUS,1903-10-01,tas,22.03
AUS,1903-11-01,tas,24.93
AUS,1903-12-01,tas,26.02
AUS,1904-01-01,tas,26.92
AUS,1904-02-01,tas,26.28
AUS,1904-03-01,tas,24.62
AUS,1904-04-01,tas,21.93
AUS,1904-05-01,tas,17.72
AUS,1904-06-01,tas,14.21
AUS,1904-07-01,tas,13.67
AUS,1904-08-01,tas,15.54
AUS,1904-09-01,tas,18.39
AUS,1904-10-01,tas,22.04
AUS,1904-11-01,tas,25.33
AUS,1904-12-01,tas,27.55
AUS,1905-01-01,tas,28.04
AUS,1905-02-01,tas,26.43
AUS,1905-03-01,tas,25.24
AUS,1905-04-01,tas,22.0
AUS,1905-05-01,tas,18.19
AUS,1905-06-01,tas,14.46
AUS,1905-07-01,tas,13.52
AUS,1905-08-01,tas,14.98
AUS,1905-09-01,tas,17.61
AUS,1905-10-01,tas,21.01
AUS,1905-11-01,tas,25.12
AUS,1905-12-01,tas,27.61
AUS,1906-01-01,tas,28.93
AUS,1906-02-01,tas,28.23
AUS,1906-03-01,tas,24.87
AUS,1906-04-01,tas,22.71
AUS,1906-05-01,tas,18.49
AUS,1906-06-01,tas,15.68
AUS,1906-07-01,tas,14.3
AUS,1906-08-01,tas,15.65
AUS,1906-09-01,tas,18.47
AUS,1906-10-01,tas,22.41
AUS,1906-11-01,tas,24.17
AUS,1906-12-01,tas,26.99
AUS,1907-01-01,tas,27.07
AUS,1907-02-01,tas,26.88
AUS,1907-03-01,tas,24.52
AUS,1907-04-01,tas,21.13
AUS,1907-05-01,tas,17.81
AUS,1907-06-01,tas,14.81
AUS,1907-07-01,tas,13.92
