country,year,revenue_loss_2025usd_mean_new,revenue_loss_2025usd_p05_new,revenue_loss_2025usd_median_new,revenue_loss_2025usd_p95_new,agriculture_loss_2025usd_mean_new,agriculture_loss_2025usd_p05_new,agriculture_loss_2025usd_median_new,agriculture_loss_2025usd_p95_new,event_revenue_2025usd_mean_new,event_revenue_2025usd_p05_new,event_revenue_2025usd_median_new,event_revenue_2025usd_p95_new,neutral_revenue_2025usd_mean_new,neutral_revenue_2025usd_p05_new,neutral_revenue_2025usd_median_new,neutral_revenue_2025usd_p95_new,p_revenue_loss_new,p_loss_above_1pct_revenue_new,revenue_loss_var95_2025usd_new,revenue_loss_es95_2025usd_new,revenue_loss_pct_neutral_mean_new,revenue_loss_2025usd_mean_prior,revenue_loss_2025usd_p05_prior,revenue_loss_2025usd_median_prior,revenue_loss_2025usd_p95_prior,agriculture_loss_2025usd_mean_prior,agriculture_loss_2025usd_p05_prior,agriculture_loss_2025usd_median_prior,agriculture_loss_2025usd_p95_prior,event_revenue_2025usd_mean_prior,event_revenue_2025usd_p05_prior,event_revenue_2025usd_median_prior,event_revenue_2025usd_p95_prior,neutral_revenue_2025usd_mean_prior,neutral_revenue_2025usd_p05_prior,neutral_revenue_2025usd_median_prior,neutral_revenue_2025usd_p95_prior,p_revenue_loss_prior,p_loss_above_1pct_revenue_prior,revenue_loss_var95_2025usd_prior,revenue_loss_es95_2025usd_prior,revenue_loss_pct_neutral_mean_prior
AUS,2026,44490746.23460664,-473003117.1471862,11587278.417297363,642347777.9041868,483656278.8318637,-1130482185.7100737,477915562.44262695,2143751533.3610668,689287686531.4934,658979498550.4517,689879997710.7227,721401656211.604,689332177277.7279,659134486684.7595,689924461815.6792,721453051675.8649,0.5503,0.0,642347777.9041868,1042120311.9580626,0.0064228511878846,44490746.23460664,-473003117.1471862,11587278.417297363,642347777.9041868,483656278.8318637,-1130482185.7100737,477915562.44262695,2143751533.3610668,689287686531.4934,658979498550.4517,689879997710.7227,721401656211.604,689332177277.7279,659134486684.7595,689924461815.6792,721453051675.8649,0.5503,0.0,642347777.9041868,1042120311.9580626,0.0064228511878846
FJI,2026,748098.3583733675,-5617750.338549244,250046.14197933677,8546914.922722943,11561645.825937014,-5746490.137081099,10056071.436567158,33438287.43190337,1811581108.537125,1639669324.1072116,1795928400.3844795,1998706849.8720536,1812329206.8954985,1639347347.6130838,1796231849.650241,1999666905.751505,0.5695,0.0081,8546914.922722943,13873952.04041234,0.040942353228076,748098.3583733675,-5617750.338549244,250046.14197933677,8546914.922722943,11561645.825937014,-5746490.137081099,10056071.436567158,33438287.43190337,1811581108.537125,1639669324.1072116,1795928400.3844795,1998706849.8720536,1812329206.8954985,1639347347.6130838,1796231849.650241,1999666905.751505,0.5695,0.0081,8546914.922722943,13873952.04041234,0.040942353228076
IDN,2026,107140752.04279028,-694154671.2341963,51966093.20227051,1036360307.7682568,3048236150.639997,-635123927.1229568,2945488478.3241425,7150234915.195248,204338130719.9837,176571680747.9335,202390432428.5533,232127389599.1389,204445271472.0265,176780237268.3191,202592161841.3617,232216920335.35995,0.5971,0.0067,1036360307.7682568,1558767354.6305797,0.0522921424334814,107140752.04279028,-694154671.2341963,51966093.20227051,1036360307.7682568,3048236150.639997,-635123927.1229568,2945488478.3241425,7150234915.195248,204338130719.9837,176571680747.9335,202390432428.5533,232127389599.1389,204445271472.0265,176780237268.3191,202592161841.3617,232216920335.35995,0.5971,0.0067,1036360307.7682568,1558767354.6305797,0.0522921424334814
MYS,2026,14691048.577458847,-158403622.1166496,4513630.269096375,215266682.003353,239299291.84394956,-640640550.4941347,240074807.27297592,1127428051.7372632,97629227025.16795,87478669913.30281,96912796183.2879,107634421978.31177,97643918073.7454,87526117749.86028,96926700903.09456,107631117584.72388,0.5579,0.0004,215266682.003353,349510138.01382285,0.0152442397841955,14691048.577458847,-158403622.1166496,4513630.269096375,215266682.003353,239299291.84394956,-640640550.4941347,240074807.27297592,1127428051.7372632,97629227025.16795,87478669913.30281,96912796183.2879,107634421978.31177,97643918073.7454,87526117749.86028,96926700903.09456,107631117584.72388,0.5579,0.0004,215266682.003353,349510138.01382285,0.0152442397841955
PHL,2026,56459226.657528855,-154482558.9945907,20005353.142166138,375401886.9410713,535753249.4595757,-407328249.5883815,475539648.2843399,1693899806.3720858,103311196340.98875,96410155937.82993,103684094101.76884,109328416580.4068,103367655567.6463,96463639095.16428,103758482748.78848,109359531623.087,0.6255,0.0026,375401886.9410713,582514319.4002979,0.0546691230797876,56459226.657528855,-154482558.9945907,20005353.142166138,375401886.9410713,535753249.4595757,-407328249.5883815,475539648.2843399,1693899806.3720858,103311196340.98875,96410155937.82993,103684094101.76884,109328416580.4068,103367655567.6463,96463639095.16428,103758482748.78848,109359531623.087,0.6255,0.0026,375401886.9410713,582514319.4002979,0.0546691230797876
PNG,2026,5669605.225507055,-37465526.1098279,2340967.8980965614,56296781.40672272,123353583.4560842,-54387400.90424876,109985971.99378157,344641190.7427104,5768774924.633397,4992391475.560145,5752146584.511688,6616092703.501886,5774444529.858904,4996826972.763554,5759763424.722408,6620657591.357626,0.59,0.0476,56296781.40672272,91744250.78602137,0.0976295910638826,5669605.225507055,-37465526.1098279,2340967.8980965614,56296781.40672272,123353583.4560842,-54387400.90424876,109985971.99378157,344641190.7427104,5768774924.633397,4992391475.560145,5752146584.511688,6616092703.501886,5774444529.858904,4996826972.763554,5759763424.722408,6620657591.357626,0.59,0.0476,56296781.40672272,91744250.78602137,0.0976295910638826
SLB,2026,-697.2273026502669,-6788871.604347806,6126.105369627476,6892188.241720912,2648133.099018463,-16982209.437691636,3251643.175630003,19924191.042497367,673468488.8856026,530447341.6891824,665049197.0374556,817771760.3164375,673467791.6582998,530645747.803646,665158912.1765143,817180940.1437974,0.504,0.051,6892188.241720912,11076770.05393603,-0.0010415524454583,-697.2273026502669,-6788871.604347806,6126.105369627476,6892188.241720912,2648133.099018463,-16982209.437691636,3251643.175630003,19924191.042497367,673468488.8856026,530447341.6891824,665049197.0374556,817771760.3164375,673467791.6582998,530645747.803646,665158912.1765143,817180940.1437974,0.504,0.051,6892188.241720912,11076770.05393603,-0.0010415524454583
THA,2026,115334879.80208226,-302261885.1108474,55587842.19678497,692518988.3488805,1212473064.842602,-201648407.09531936,1102658803.8448565,2911220367.2046323,123039627976.7652,115456003757.44916,122470999980.03442,131469736930.71072,123154962856.56725,115649898301.08932,122597572728.627,131563171435.66257,0.6512,0.0099,692518988.3488805,1035663588.0744004,0.0939986945298561,115334879.80208226,-302261885.1108474,55587842.19678497,692518988.3488805,1212473064.842602,-201648407.09531936,1102658803.8448565,2911220367.2046323,123039627976.7652,115456003757.44916,122470999980.03442,131469736930.71072,123154962856.56725,115649898301.08932,122597572728.627,131563171435.66257,0.6512,0.0099,692518988.3488805,1035663588.0744004,0.0939986945298561
TON,2026,86942.97158326444,-1420427.0281076848,21158.518208533525,1720865.7255707912,648541.2272854715,-2773678.266890576,708600.6091181785,3754159.412026045,370907119.2841453,320560199.9793527,369676150.19473016,417799530.3886882,370994062.2557285,320771896.57147753,369594387.1465148,417832039.0729751,0.5352,0.0073,1720865.7255707912,2798570.5538060903,0.0231968637843986,86942.97158326444,-1420427.0281076848,21158.518208533525,1720865.7255707912,648541.2272854715,-2773678.266890576,708600.6091181785,3754159.412026045,370907119.2841453,320560199.9793527,369676150.19473016,417799530.3886882,370994062.2557285,320771896.57147753,369594387.1465148,417832039.0729751,0.5352,0.0073,1720865.7255707912,2798570.5538060903,0.0231968637843986
VNM,2026,12368018.136260483,-223743274.7011383,3111203.7487487798,280828871.0091848,126870517.14867257,-1104853221.9096546,153673615.64664078,1250029454.2459457,104897483865.9077,94404300257.91644,105207312578.61876,113801974464.90866,104909851884.04398,94422951840.69354,105226062721.11264,113811237182.64693,0.5369,0.0008,280828871.0091848,466006499.7014757,0.0118248687604785,12368018.136260483,-223743274.7011383,3111203.7487487798,280828871.0091848,126870517.14867257,-1104853221.9096546,153673615.64664078,1250029454.2459457,104897483865.9077,94404300257.91644,105207312578.61876,113801974464.90866,104909851884.04398,94422951840.69354,105226062721.11264,113811237182.64693,0.5369,0.0008,280828871.0091848,466006499.7014757,0.0118248687604785
VUT,2026,129491.39614088336,-4458184.314923337,65060.75071030855,4827387.705101736,6316642.101123961,-3599766.5939881084,5611156.526525468,18838869.376815088,441835632.1317042,347301293.1459804,439356356.3449017,521565944.7333317,441965123.52784514,348005419.7396327,439528947.8249431,521792166.6595504,0.535,0.058,4827387.705101736,7701399.863187754,0.0303982968636446,129491.39614088336,-4458184.314923337,65060.75071030855,4827387.705101736,6316642.101123961,-3599766.5939881084,5611156.526525468,18838869.376815088,441835632.1317042,347301293.1459804,439356356.3449017,521565944.7333317,441965123.52784514,348005419.7396327,439528947.8249431,521792166.6595504,0.535,0.058,4827387.705101736,7701399.863187754,0.0303982968636446
WSM,2026,216177.63914629832,-744789.1679510742,68350.27553668618,1566542.9298503543,1313641.388323603,-1153479.2788273685,1195273.501226477,4189537.882174168,424315635.1693785,356265126.3389816,422532889.2864873,497092158.72749895,424531812.8085248,356481076.2929374,422718711.5855376,497129864.0377048,0.6122,0.0043,1566542.9298503543,2605637.651712671,0.0506665760381133,216177.63914629832,-744789.1679510742,68350.27553668618,1566542.9298503543,1313641.388323603,-1153479.2788273685,1195273.501226477,4189537.882174168,424315635.1693785,356265126.3389816,422532889.2864873,497092158.72749895,424531812.8085248,356481076.2929374,422718711.5855376,497129864.0377048,0.6122,0.0043,1566542.9298503543,2605637.651712671,0.0506665760381133
AUS,2027,95811806.56360915,-827225483.5537719,27847132.97479248,1215950565.3498893,1096397548.4852722,-1243662255.8102963,1004837904.3956336,3792743019.784874,701647251480.5856,648478291941.5095,704160000501.2334,746988779013.6876,701743063287.1493,648418144645.4072,704194881973.6501,747226059500.6887,0.5586,0.0001,1215950565.3498893,1893337829.0640745,0.013477721466442,95811806.56360915,-827225483.5537719,27847132.97479248,1215950565.3498893,1096397548.4852722,-1243662255.8102963,1004837904.3956336,3792743019.784874,701647251480.5856,648478291941.5095,704160000501.2334,746988779013.6876,701743063287.1493,648418144645.4072,704194881973.6501,747226059500.6887,0.5586,0.0001,1215950565.3498893,1893337829.0640745,0.013477721466442
FJI,2027,1085474.6141345068,-8806146.79343772,379899.5412025452,12692288.599200271,17253764.539621625,-5555290.851443997,15251396.39296806,46756291.382374905,1879777013.1109483,1618546389.090331,1864068824.7488492,2260596824.1226377,1880862487.7250829,1619211087.8351834,1865468400.2727573,2262725048.3763247,0.5645,0.0215,12692288.599200271,20337048.08192004,0.0569074455796324,1085474.6141345068,-8806146.79343772,379899.5412025452,12692288.599200271,17253764.539621625,-5555290.851443997,15251396.39296806,46756291.382374905,1879777013.1109483,1618546389.090331,1864068824.7488492,2260596824.1226377,1880862487.7250829,1619211087.8351834,1865468400.2727573,2262725048.3763247,0.5645,0.0215,12692288.599200271,20337048.08192004,0.0569074455796324
IDN,2027,67490065.81869538,-788549306.7188888,15603319.591537476,1030666734.9309402,3075244976.8952937,-1999088434.1247983,2919748344.792465,8790418605.03645,215136136860.53885,178511469969.17114,214467741723.11844,260287784359.01624,215203626926.35757,178490045738.53726,214524994240.25653,260070519551.3151,0.5325,0.0081,1030666734.9309402,1663712446.1544058,0.0314708460302887,67490065.81869538,-788549306.7188888,15603319.591537476,1030666734.9309402,3075244976.8952937,-1999088434.1247983,2919748344.792465,8790418605.03645,215136136860.53885,178511469969.17114,214467741723.11844,260287784359.01624,215203626926.35757,178490045738.53726,214524994240.25653,260070519551.3151,0.5325,0.0081,1030666734.9309402,1663712446.1544058,0.0314708460302887
MYS,2027,29891762.45820713,-264393963.7352745,9007532.25112915,354700970.7109824,507310801.2311967,-777886044.3336443,490907767.1293869,1844666442.8748243,100892306853.24924,87168148194.43922,99899764150.42924,118467833890.48335,100922198615.70747,87214954717.06937,99900050199.68384,118467612605.82976,0.5645,0.0037,354700970.7109824,585486510.7257212,0.0299881155411822,29891762.45820713,-264393963.7352745,9007532.25112915,354700970.7109824,507310801.2311967,-777886044.3336443,490907767.1293869,1844666442.8748243,100892306853.24924,87168148194.43922,99899764150.42924,118467833890.48335,100922198615.70747,87214954717.06937,99900050199.68384,118467612605.82976,0.5645,0.0037,354700970.7109824,585486510.7257212,0.0299881155411822
PHL,2027,128299911.21003586,-312486040.4085236,56771088.578689575,790466003.1149784,1187193433.8242395,-323624668.4854667,1100064424.299698,3017258437.588702,110419418305.4832,99703531287.7162,110574023613.15338,120505687756.12,110547718216.69322,99788612368.89925,110728246564.2049,120614829148.70108,0.6511,0.0184,790466003.1149784,1165919759.7836185,0.1164570833753352,128299911.21003586,-312486040.4085236,56771088.578689575,790466003.1149784,1187193433.8242395,-323624668.4854667,1100064424.299698,3017258437.588702,110419418305.4832,99703531287.7162,110574023613.15338,120505687756.12,110547718216.69322,99788612368.89925,110728246564.2049,120614829148.70108,0.6511,0.0184,790466003.1149784,1165919759.7836185,0.1164570833753352
