country,agriculture_anchor_year,revenue_anchor_year,revenue_anchor_status,bridge_years,initial_revenue_2025usd,imf_wdi_gdp_ratio
AUS,2025,2025,IMF estimate,0,674699128869.39,1.0857418148944686
FJI,2025,2025,IMF estimate,0,1755678136.249296,1.0619338619075684
IDN,2025,2025,IMF estimate,0,191949848316.72546,1.110740585591804
MYS,2025,2025,IMF estimate,0,93940956951.5569,1.0625125678795297
PHL,2025,2025,IMF estimate,0,98842483664.9271,1.0259423044981382
PNG,2024,2025,IMF estimate,1,5633159845.428699,1.1328969913020672
SLB,2024,2025,IMF estimate,1,636856801.6825011,1.1113198235884572
THA,2025,2025,IMF estimate,0,121514153032.30545,1.1878018742569774
TON,2024,2025,IMF estimate,1,351084812.3779188,1.3284074347103736
VNM,2025,2025,IMF estimate,0,98549141204.50165,1.128713210142048
VUT,2024,2025,IMF estimate,1,415537690.3124527,1.2084792282611632
WSM,2025,2025,IMF estimate,0,400275737.34365225,1.1616283067291118
