period,source,p05,p50,p95,neutral
2024-01-01,observed_centered_season,1.1,1.1,1.1,1.1
2024-02-01,observed_centered_season,0.8,0.8,0.8,0.8
2024-03-01,observed_centered_season,0.4,0.4,0.4,0.4
2024-04-01,observed_centered_season,0.0,0.0,0.0,0.0
2024-05-01,observed_centered_season,-0.3,-0.3,-0.3,-0.3
2024-06-01,observed_centered_season,-0.4,-0.4,-0.4,-0.4
2024-07-01,observed_centered_season,-0.5,-0.5,-0.5,-0.5
2024-08-01,observed_centered_season,-0.6,-0.6,-0.6,-0.6
2024-09-01,observed_centered_season,-0.7,-0.7,-0.7,-0.7
2024-10-01,observed_centered_season,-0.8,-0.8,-0.8,-0.8
2024-11-01,observed_centered_season,-0.9,-0.9,-0.9,-0.9
2024-12-01,observed_centered_season,-1.0,-1.0,-1.0,-1.0
2025-01-01,observed_centered_season,-1.1,-1.1,-1.1,-1.1
2025-02-01,observed_centered_season,-0.8,-0.8,-0.8,-0.8
2025-03-01,observed_centered_season,-0.7,-0.7,-0.7,-0.7
2025-04-01,observed_centered_season,-0.5,-0.5,-0.5,-0.5
2025-05-01,observed_centered_season,-0.5,-0.5,-0.5,-0.5
2025-06-01,observed_centered_season,-0.4,-0.4,-0.4,-0.4
2025-07-01,observed_centered_season,-0.4,-0.4,-0.4,-0.4
2025-08-01,observed_centered_season,-0.6,-0.6,-0.6,-0.6
2025-09-01,observed_centered_season,-0.8,-0.8,-0.8,-0.8
2025-10-01,observed_centered_season,-0.9,-0.9,-0.9,-0.9
2025-11-01,observed_centered_season,-1.0,-1.0,-1.0,-1.0
2025-12-01,observed_centered_season,-1.0,-1.0,-1.0,-1.0
2026-01-01,observed_centered_season,-0.9,-0.9,-0.9,-0.9
2026-02-01,observed_centered_season,-0.8,-0.8,-0.8,-0.8
2026-03-01,observed_centered_season,-0.4,-0.4,-0.4,-0.4
2026-04-01,observed_centered_season,0.0,0.0,0.0,0.0
2026-05-01,observed_centered_season,0.5,0.5,0.5,0.0
2026-06-01,observed_centered_season,1.0,1.0,1.0,0.0
2026-07-01,observed_centered_season,1.4,1.4,1.4,0.0
2026-08-01,CPC_marginal_with_modeled_dependence,1.474153425080124,1.7897742539720483,2.1027002623994395,0.0
2026-09-01,CPC_marginal_with_modeled_dependence,1.6726496092793424,2.1381344311464,2.6032158565496126,0.0
2026-10-01,CPC_marginal_with_modeled_dependence,1.8925429910242089,2.468235435762603,3.041159865280691,0.0
2026-11-01,CPC_marginal_with_modeled_dependence,1.952926973421749,2.6603712954295347,3.360270506667912,0.0
2026-12-01,CPC_marginal_with_modeled_dependence,1.7669729496756343,2.579098534495172,3.3852500418996123,0.0
2027-01-01,CPC_marginal_with_modeled_dependence,1.3698447775045668,2.2293641405992313,3.0922201028660297,0.0
2027-02-01,CPC_marginal_with_modeled_dependence,0.93066990988224,1.742566149828869,2.5647414192111397,0.0
2027-03-01,CPC_marginal_with_modeled_dependence,0.5513436823619924,1.2670884731352556,2.0041054890201173,0.0
2027-04-01,CPC_marginal_with_modeled_dependence,0.16052410314264234,0.8270966687384727,1.4942281670834525,0.0
2027-05-01,model_extension,-0.248009611209191,0.46042038489658677,1.1601665614069268,0.0
2027-06-01,model_extension,-0.6564364565383585,0.16694923520722663,0.9708553507224704,0.0
2027-07-01,model_extension,-0.9965393005651396,-0.06988520933730123,0.8677234659960339,0.0
2027-08-01,model_extension,-1.2745825686707213,-0.23194483037839625,0.8309714961617645,0.0
2027-09-01,model_extension,-1.483398072609796,-0.33902028601623396,0.8144606678099774,0.0
2027-10-01,model_extension,-1.6083801521425498,-0.39291970876357046,0.8232630772286682,0.0
2027-11-01,model_extension,-1.6690907272046664,-0.4117907504048444,0.8438546876867024,0.0
2027-12-01,model_extension,-1.681030024838654,-0.39357448116004534,0.89074986427093,0.0
