series,outcome,n,estimated
AUS:maize,area_growth,62,True
AUS:maize,price_growth,27,True
AUS:rice,area_growth,62,True
AUS:rice,price_growth,31,True
AUS:sugar,area_growth,62,True
AUS:sugar,price_growth,33,True
FJI:cocoa,area_growth,62,True
FJI:cocoa,price_growth,19,False
FJI:coconut,area_growth,38,True
FJI:coconut,price_growth,19,False
FJI:coffee,area_growth,61,True
FJI:coffee,price_growth,0,False
FJI:maize,area_growth,62,True
FJI:maize,price_growth,23,True
FJI:rice,area_growth,62,True
FJI:rice,price_growth,22,True
FJI:sugar,area_growth,62,True
FJI:sugar,price_growth,12,False
IDN:cocoa,area_growth,62,True
IDN:cocoa,price_growth,22,True
IDN:coconut,area_growth,62,True
IDN:coconut,price_growth,19,False
IDN:coffee,area_growth,62,True
IDN:coffee,price_growth,33,True
IDN:maize,area_growth,62,True
IDN:maize,price_growth,33,True
IDN:palm,area_growth,62,True
IDN:palm,price_growth,13,False
IDN:rice,area_growth,62,True
IDN:rice,price_growth,33,True
IDN:sugar,area_growth,62,True
IDN:sugar,price_growth,0,False
MYS:cocoa,area_growth,62,True
MYS:cocoa,price_growth,21,True
MYS:coconut,area_growth,62,True
MYS:coconut,price_growth,27,True
MYS:coffee,area_growth,62,True
MYS:coffee,price_growth,0,False
MYS:maize,area_growth,30,True
MYS:maize,price_growth,0,False
MYS:palm,area_growth,62,True
MYS:palm,price_growth,19,False
MYS:rice,area_growth,62,True
MYS:rice,price_growth,19,False
MYS:sugar,area_growth,62,True
MYS:sugar,price_growth,13,False
PHL:cocoa,area_growth,62,True
PHL:cocoa,price_growth,33,True
PHL:coconut,area_growth,62,True
PHL:coconut,price_growth,33,True
PHL:coffee,area_growth,62,True
PHL:coffee,price_growth,33,True
PHL:maize,area_growth,62,True
PHL:maize,price_growth,33,True
PHL:palm,area_growth,62,True
PHL:palm,price_growth,21,True
PHL:rice,area_growth,62,True
PHL:rice,price_growth,33,True
PHL:sugar,area_growth,62,True
PHL:sugar,price_growth,11,False
PNG:cocoa,area_growth,62,True
PNG:cocoa,price_growth,0,False
PNG:coconut,area_growth,62,True
PNG:coconut,price_growth,0,False
PNG:coffee,area_growth,62,True
PNG:coffee,price_growth,0,False
PNG:maize,area_growth,62,True
PNG:maize,price_growth,0,False
PNG:palm,area_growth,52,True
PNG:palm,price_growth,0,False
PNG:rice,area_growth,62,True
PNG:rice,price_growth,0,False
PNG:sugar,area_growth,62,True
PNG:sugar,price_growth,0,False
SLB:cocoa,area_growth,62,True
SLB:cocoa,price_growth,0,False
SLB:coconut,area_growth,62,True
SLB:coconut,price_growth,0,False
SLB:palm,area_growth,62,True
SLB:palm,price_growth,0,False
SLB:rice,area_growth,57,True
SLB:rice,price_growth,0,False
THA:cocoa,area_growth,43,True
THA:cocoa,price_growth,0,False
THA:coconut,area_growth,62,True
THA:coconut,price_growth,31,True
THA:coffee,area_growth,62,True
THA:coffee,price_growth,33,True
THA:maize,area_growth,62,True
THA:maize,price_growth,33,True
THA:palm,area_growth,62,True
THA:palm,price_growth,25,True
THA:rice,area_growth,62,True
THA:rice,price_growth,33,True
THA:sugar,area_growth,62,True
THA:sugar,price_growth,33,True
TON:coconut,area_growth,62,True
TON:coconut,price_growth,4,False
TON:coffee,area_growth,40,True
TON:coffee,price_growth,0,False
VNM:coconut,area_growth,62,True
VNM:coconut,price_growth,2,False
VNM:coffee,area_growth,62,True
VNM:coffee,price_growth,24,True
VNM:maize,area_growth,62,True
VNM:maize,price_growth,31,True
VNM:rice,area_growth,62,True
VNM:rice,price_growth,24,True
VNM:sugar,area_growth,62,True
VNM:sugar,price_growth,24,True
VUT:cocoa,area_growth,62,True
VUT:cocoa,price_growth,10,False
VUT:coconut,area_growth,62,True
VUT:coconut,price_growth,10,False
VUT:coffee,area_growth,62,True
VUT:coffee,price_growth,10,False
VUT:maize,area_growth,62,True
VUT:maize,price_growth,10,False
WSM:cocoa,area_growth,62,True
WSM:cocoa,price_growth,0,False
WSM:coconut,area_growth,62,True
WSM:coconut,price_growth,10,False
WSM:coffee,area_growth,62,True
WSM:coffee,price_growth,0,False
WSM:sugar,area_growth,62,True
WSM:sugar,price_growth,0,False
