year,feature,training_min,training_max,forecast_mean,probability_outside_training_range,neutral_mean
2026,warm,0.0,1.275,1.2110358229517115,0.3139,0.0
2026,warm_lag1,0.0,1.275,0.0,0.0,0.0
2026,warm_lag2,0.0,1.275,0.19166666666666665,0.0,0.19166666666666665
2026,cold,0.0,1.2,0.17500000000000002,0.0,0.17500000000000002
2026,extreme,0.0,0.2666666666666666,0.34527917575706585,0.721,0.0
2026,cold_lag1,0.0,1.2,0.7249999999999999,0.0,0.7249999999999999
2026,cold_lag2,0.0,1.2,0.43333333333333346,0.0,0.43333333333333346
2027,warm,0.0,1.275,0.6489059674081383,0.0252,0.0
2027,warm_lag1,0.0,1.275,1.2110358229517115,0.3139,0.0
2027,warm_lag2,0.0,1.275,0.0,0.0,0.0
2027,cold,0.0,1.2,0.24319581376354432,0.0012,0.0
2027,extreme,0.0,0.2666666666666666,0.09956026190379326,0.0453,0.0
2027,cold_lag1,0.0,1.2,0.17500000000000002,0.0,0.17500000000000002
2027,cold_lag2,0.0,1.2,0.7249999999999999,0.0,0.7249999999999999
