period,scope,revenue_loss_2025usd_mean,revenue_loss_2025usd_p05,revenue_loss_2025usd_median,revenue_loss_2025usd_p95,agriculture_loss_2025usd_mean,agriculture_loss_2025usd_p05,agriculture_loss_2025usd_median,agriculture_loss_2025usd_p95,p_revenue_loss,p_loss_above_1pct_revenue,var95_2025usd,es95_2025usd,variant
2026,all_modeled,357334289.8141756,-1202324998.7992554,206646472.1732412,2333534347.231878,5792130739.864433,-908806736.5714016,5603961487.542501,13207135027.889046,0.6306,0.0,2333534347.231878,3324366437.36935,neutral_late_2027
2026,Pacific_islands,6849618.363448219,-43142816.68301004,3368548.3058340847,65675137.09107835,145842187.09777272,-51703329.632143065,132095498.38676374,387257720.58908975,0.5902,0.0205,65675137.09107835,103793649.58191334,neutral_late_2027
2026,excluding_Australia,312843543.5795689,-978397534.4292784,182025129.3679797,1963047813.563845,5308474461.03257,-633668681.9111403,5138854822.142752,11961896580.54396,0.6366,0.0,1963047813.563845,2799798457.06025,neutral_late_2027
2027,all_modeled,451369354.3574615,-1731669685.7597466,248663671.8412881,3178483204.051715,7343023788.635542,-2012666949.348055,7009922811.238775,17675440444.59695,0.6173,0.0,3178483204.051715,4540800627.595913,neutral_late_2027
2027,Pacific_islands,7184303.273622974,-60558337.17184607,3063168.683263421,85818354.635186,180142026.363761,-102767809.96050234,161221409.9535574,534901412.199186,0.565,0.039,85818354.635186,136352525.82076117,neutral_late_2027
2027,excluding_Australia,356679460.87213755,-1278097970.8344295,198648914.1480836,2422464452.7510023,6269756147.685842,-1998593690.5284865,5967042107.210583,15464555974.52469,0.6195,0.0007,2422464452.7510023,3482856127.133481,neutral_late_2027
2026–2027,all_modeled,808703644.171637,-2855488960.5751534,471546030.6434965,5429632957.70411,13135154528.499975,-2073636866.0369108,12578595222.049488,30513834873.639523,0.6264,0.0,5429632957.70411,7696589328.48827,neutral_late_2027
2026–2027,Pacific_islands,14033921.637071192,-100508160.23078942,6687228.565400898,150583425.35062394,325984213.46153367,-143850646.29857126,293211178.42226666,901214342.8787932,0.5786,0.0291,150583425.35062394,235798455.6743676,neutral_late_2027
2026–2027,excluding_Australia,669523004.4517064,-2178763746.358409,386876791.7848267,4291701986.0801816,11578230608.71841,-1796912225.464248,11046277296.0509,27049875908.93859,0.6352,0.0002,4291701986.0801816,6135024952.543963,neutral_late_2027
2026,all_modeled,357334289.8141756,-1202324998.7992554,206646472.1732412,2333534347.231878,5792130739.864433,-908806736.5714016,5603961487.542501,13207135027.889046,0.6306,0.0,2333534347.231878,3324366437.36935,la_nina_late_2027
2026,Pacific_islands,6849618.363448219,-43142816.68301004,3368548.3058340847,65675137.09107835,145842187.09777272,-51703329.632143065,132095498.38676374,387257720.58908975,0.5902,0.0205,65675137.09107835,103793649.58191334,la_nina_late_2027
2026,excluding_Australia,312843543.5795689,-978397534.4292784,182025129.3679797,1963047813.563845,5308474461.03257,-633668681.9111403,5138854822.142752,11961896580.54396,0.6366,0.0,1963047813.563845,2799798457.06025,la_nina_late_2027
2027,all_modeled,438318407.2478867,-1704189195.340014,242890224.2548268,3091852431.0614552,7113949579.446678,-2142444877.4579184,6838877964.705836,17456794563.057026,0.6153,0.0,3091852431.0614552,4453240152.784616,la_nina_late_2027
2027,Pacific_islands,7313120.951237413,-60271590.65230284,3299048.9021550715,85624074.28236736,181602815.5897776,-101709445.36941144,163361442.83617747,528596181.7802018,0.5689,0.0381,85624074.28236736,135792177.49186555,la_nina_late_2027
2027,excluding_Australia,344473243.4655464,-1243398665.2604918,190324104.66677612,2357468039.366137,6047357045.135841,-2094163747.5108824,5797774965.994188,15133610455.627878,0.6203,0.0007,2357468039.366137,3404716922.4871426,la_nina_late_2027
2026–2027,all_modeled,795652697.0620623,-2804797599.503792,463958796.0735529,5399443189.458287,12906080319.311111,-2426859292.8328032,12342185889.968388,30262437371.72773,0.6245,0.0,5399443189.458287,7616520148.463929,la_nina_late_2027
2026–2027,Pacific_islands,14162739.314685632,-100677291.67437366,6832006.771293223,151149422.923476,327445002.6875504,-137054406.7316946,297208052.0782354,893783170.620986,0.5802,0.0289,151149422.923476,235681338.05130944,la_nina_late_2027
2026–2027,excluding_Australia,657316787.0451154,-2162172205.385254,386824718.5706382,4270815505.448491,11355831506.168411,-2205300020.417057,10934087647.619509,26791813503.213467,0.6332,0.0001,4270815505.448491,6070913564.198962,la_nina_late_2027
2026,all_modeled,357194657.6611424,-1167255622.407917,211149419.6260828,2292094596.977722,5776967827.662466,-679390115.53429,5737510796.53219,12410131718.092966,0.6312,0.0,2292094596.977722,3149195142.29935,independent_forecast_errors
2026,Pacific_islands,6781610.190516056,-42794321.14853115,3571660.0290080607,65869488.2126209,145555181.23690528,-50557599.954050064,136671830.77957326,368527850.8723125,0.5907,0.0182,65869488.2126209,98093141.15111634,independent_forecast_errors
2026,excluding_Australia,312896189.9123073,-969764966.5990188,193712123.0325213,1918122258.6432784,5291278612.711777,-484346804.9200692,5281243508.388777,11176310940.524172,0.6383,0.0003,1918122258.6432784,2662834188.4057984,independent_forecast_errors
2027,all_modeled,518218085.464041,-1912411776.83586,302637806.4218145,3502577890.8841567,8335997833.270205,-1706906970.329453,8122696041.681465,18923458162.47824,0.6177,0.0002,3502577890.8841567,4944238951.535584,independent_forecast_errors
2027,Pacific_islands,8778190.456492977,-66509509.45865693,4300519.021645844,97023036.57068524,210157867.06241837,-102760390.47840942,196028262.49958196,559685898.4116635,0.5762,0.0478,97023036.57068524,150793537.57741168,independent_forecast_errors
2027,excluding_Australia,414784524.02959615,-1413776451.7244668,243430393.4873134,2708704379.0648685,7169253895.249003,-1741975638.1036582,6999114625.145348,16451625483.872044,0.6251,0.0018,2708704379.0648685,3806156137.70019,independent_forecast_errors
2026–2027,all_modeled,875412743.1251833,-2973407085.937614,542493007.1393865,5617870291.441515,14112965660.932673,-1565000786.5535624,13985989512.9225,30348010596.449707,0.6284,0.0,5617870291.441515,7804038958.567526,independent_forecast_errors
2026–2027,Pacific_islands,15559800.64700903,-106769863.41325448,8087773.712647885,159017352.0376077,355713048.2993236,-135153681.5466908,336777621.72200906,915567194.2507148,0.5834,0.0327,159017352.0376077,242782680.80577123,independent_forecast_errors
2026–2027,excluding_Australia,727680713.9419035,-2336950060.4618783,452707680.1544087,4537638488.847459,12460532507.960775,-1494075170.7462294,12384641447.851517,26902293794.840904,0.6374,0.0005,4537638488.847459,6233911779.408916,independent_forecast_errors
2026,all_modeled,354302140.6006218,-1214967169.1468737,205876424.4628698,2340844524.0270047,5781188281.736045,-944851820.3159148,5550232688.683802,13406319031.6788,0.6299,0.0,2340844524.0270047,3331475733.881456,aligned_forecast_errors
2026,Pacific_islands,6762709.2677305695,-43037722.90752781,3333746.58874017,65840094.141811706,145325196.05744994,-51625295.94654299,130902424.3098535,387576467.2215007,0.5879,0.0202,65840094.141811706,103411589.65580316,aligned_forecast_errors
2026,excluding_Australia,310106611.4034219,-996562575.0562596,181169728.86331356,1955921164.26957,5298422499.464542,-697542668.7678518,5106278159.148151,12130524624.123943,0.6345,0.0,1955921164.26957,2808318946.825888,aligned_forecast_errors
2027,all_modeled,452694982.2053168,-1744993944.158254,248545468.13537112,3203081897.4947925,7436086170.776397,-1958643620.066052,7085193257.279249,18231228887.877995,0.6148,0.0,3203081897.4947925,4622662574.046224,aligned_forecast_errors
2027,Pacific_islands,7425542.999945667,-62032051.89136855,3309643.292001635,89290874.8417005,186643381.49815103,-98893014.00981957,166458337.19280195,545744511.9424696,0.5672,0.0403,89290874.8417005,140225338.35701126,aligned_forecast_errors
2027,excluding_Australia,357914961.87582016,-1295031616.0983963,195159024.42516425,2459360469.3620434,6346831719.847864,-2021086598.634213,6011020652.151308,16038039803.7368,0.6222,0.0013,2459360469.3620434,3570706929.068797,aligned_forecast_errors
2026–2027,all_modeled,806997122.8059386,-2834726666.169424,467284147.37858194,5484765445.317105,13217274452.512444,-2166897992.895837,12555855019.836351,31209933304.383434,0.6231,0.0,5484765445.317105,7798578753.339226,aligned_forecast_errors
2026–2027,Pacific_islands,14188252.267676232,-102748614.54640962,6791600.977546185,152292091.09338373,331968577.555601,-132776636.79717147,296270259.21364284,918303185.472165,0.5789,0.0301,152292091.09338373,239883689.39064863,aligned_forecast_errors
