country,year,imf_gdp_current_usd,imf_revenue_current_usd,imf_revenue_pct_gdp,imf_real_gdp_growth_pct,role
AUS,2026,2123963000000.0002,777803224170.5815,36.620375410051,2.0,"Published IMF comparator, not an ENSO-free baseline; do not subtract real losses from nominal figures"
FJI,2026,6352000000.0,1792667917.341602,28.222101973262,2.4,"Published IMF comparator, not an ENSO-free baseline; do not subtract real losses from nominal figures"
IDN,2026,1539872000000.0,213134351286.6477,13.841043365075,5.0,"Published IMF comparator, not an ENSO-free baseline; do not subtract real losses from nominal figures"
MYS,2026,516428000000.0,99271493376.33139,19.222717082794,4.7,"Published IMF comparator, not an ENSO-free baseline; do not subtract real losses from nominal figures"
PHL,2026,512222000000.0,103999938767.56873,20.303684489844,4.1,"Published IMF comparator, not an ENSO-free baseline; do not subtract real losses from nominal figures"
PNG,2026,34403000000.0,6252657724.627599,18.174745587965,3.8,"Published IMF comparator, not an ENSO-free baseline; do not subtract real losses from nominal figures"
SLB,2026,1836000000.0,686272709.9122992,37.37868790372,2.8,"Published IMF comparator, not an ENSO-free baseline; do not subtract real losses from nominal figures"
THA,2026,579996000000.0,122018606702.61421,21.037835899319,1.5,"Published IMF comparator, not an ENSO-free baseline; do not subtract real losses from nominal figures"
TON,2026,716000000.0,271521143.22602177,37.921947377936,2.3,"Published IMF comparator, not an ENSO-free baseline; do not subtract real losses from nominal figures"
VNM,2026,527265999999.99994,104333787061.02275,19.787694837335,7.1,"Published IMF comparator, not an ENSO-free baseline; do not subtract real losses from nominal figures"
VUT,2026,1396000000.0,392608469.9722085,28.123815900588,3.5,"Published IMF comparator, not an ENSO-free baseline; do not subtract real losses from nominal figures"
WSM,2026,1376000000.0,419383199.4020573,30.478430189103,3.2,"Published IMF comparator, not an ENSO-free baseline; do not subtract real losses from nominal figures"
AUS,2027,2211254000000.0,801404301197.8422,36.242073556355,1.7,"Published IMF comparator, not an ENSO-free baseline; do not subtract real losses from nominal figures"
FJI,2027,6663000000.0,1855117239.7516897,27.84207173573,2.7,"Published IMF comparator, not an ENSO-free baseline; do not subtract real losses from nominal figures"
IDN,2027,1659491000000.0,228560162725.27405,13.77290764007,5.1,"Published IMF comparator, not an ENSO-free baseline; do not subtract real losses from nominal figures"
MYS,2027,552855000000.0,105305131531.77934,19.047513639522,4.3,"Published IMF comparator, not an ENSO-free baseline; do not subtract real losses from nominal figures"
PHL,2027,556747000000.0,112573272663.90341,20.219825641432,5.8,"Published IMF comparator, not an ENSO-free baseline; do not subtract real losses from nominal figures"
PNG,2027,34978000000.0,6480714185.246169,18.527972397639,3.8,"Published IMF comparator, not an ENSO-free baseline; do not subtract real losses from nominal figures"
SLB,2027,1949000000.0,711392744.8640676,36.500397376299,2.9,"Published IMF comparator, not an ENSO-free baseline; do not subtract real losses from nominal figures"
THA,2027,584045000000.0,123417799665.81082,21.131556586532,2.1,"Published IMF comparator, not an ENSO-free baseline; do not subtract real losses from nominal figures"
TON,2027,753000000.0,278565612.1765193,36.994105202725,1.3,"Published IMF comparator, not an ENSO-free baseline; do not subtract real losses from nominal figures"
VNM,2027,557405000000.0,110216794985.6633,19.773198120875,6.7,"Published IMF comparator, not an ENSO-free baseline; do not subtract real losses from nominal figures"
VUT,2027,1477000000.0,406443961.16052574,27.518209963475,3.2,"Published IMF comparator, not an ENSO-free baseline; do not subtract real losses from nominal figures"
WSM,2027,1453000000.0,438922155.55784434,30.207994188427,2.8,"Published IMF comparator, not an ENSO-free baseline; do not subtract real losses from nominal figures"
