series,reason
FJI:coffee,No valuation in common latest baseline year
PNG:cocoa,No valuation in common latest baseline year
PNG:coconut,No valuation in common latest baseline year
PNG:coffee,No valuation in common latest baseline year
PNG:maize,No valuation in common latest baseline year
PNG:palm,No valuation in common latest baseline year
PNG:rice,No valuation in common latest baseline year
PNG:sugar,No valuation in common latest baseline year
SLB:cocoa,No valuation in common latest baseline year
SLB:coconut,No valuation in common latest baseline year
SLB:palm,No valuation in common latest baseline year
SLB:rice,No valuation in common latest baseline year
TON:coffee,No valuation in common latest baseline year
WSM:cocoa,No valuation in common latest baseline year
WSM:coffee,No valuation in common latest baseline year
WSM:sugar,No valuation in common latest baseline year
