model,series,median_log_growth,lower90,upper90
full,AUS:maize,-0.040662109326204,-0.1057936856104605,0.017460839719842622
full,AUS:rice,-0.04271775464129729,-0.10214853456091849,0.017340435800057615
full,AUS:sugar,-0.007180106447075198,-0.06785489917882163,0.05486110541964835
full,FJI:cocoa,-0.00048550287815615246,-0.08143277155297936,0.07605989380571224
full,FJI:coconut,-0.06619347578704865,-0.1363511261418656,0.005803244840722407
full,FJI:coffee,0.018373107348893275,-0.05671632315238963,0.09553839437809032
full,FJI:maize,-0.02873203432108445,-0.09160930955083336,0.03790529276557973
full,FJI:rice,-0.05977696079476681,-0.1236401100829577,-0.0013048038396413282
full,FJI:sugar,-0.03562081715931972,-0.10618138690751096,0.0241325847592436
full,IDN:cocoa,-0.0010924709106602945,-0.08091509160705809,0.0730567106766208
full,IDN:coconut,-0.05177092612364756,-0.10943147584148986,0.0034601769957264008
full,IDN:coffee,0.02608998495936682,-0.036986177030112644,0.09419107693803842
full,IDN:maize,-0.030713579981585963,-0.07731374676202005,0.01904414323654334
full,IDN:palm,-0.00978305857484115,-0.07647132952139746,0.06086208765970579
full,IDN:rice,-0.04663144223603384,-0.09007116774878413,-0.0012167569739153716
full,IDN:sugar,-0.016088773428829348,-0.07904648566762873,0.04360626103154734
full,MYS:cocoa,0.0011764253357272698,-0.07705038901325345,0.07946471238237046
full,MYS:coconut,-0.07063735562350992,-0.1396197260804493,-0.004171806060499159
full,MYS:coffee,0.028631273873639597,-0.04231856659392898,0.10200932949303003
full,MYS:maize,-0.023669512631794704,-0.08840766714301988,0.041988269088866575
full,MYS:palm,-0.042090848256981,-0.11268691090803812,0.02740684648935879
full,MYS:rice,-0.06664801200073112,-0.12248560705313291,-0.017676760921202805
full,MYS:sugar,-0.02065407756530323,-0.08709527973117519,0.04545472646191482
full,PHL:cocoa,-0.007270971933385146,-0.0849362346165699,0.06773713155533467
full,PHL:coconut,-0.07857828433554453,-0.15172719875033547,-0.00511448529386715
full,PHL:coffee,0.0033046507722570787,-0.06708259287840858,0.07475209325881484
full,PHL:maize,-0.027990719607171366,-0.07354878602542132,0.016512476455001923
full,PHL:palm,-0.008061434022715832,-0.0777518128443596,0.060590002814872194
