model,phase,n,mae,rmse,coverage90,interval_score90
economic_only,El Nino,246,0.088307511336351,0.17731036267434064,0.9186991869918699,0.9260598849534764
economic_only,La Nina,491,0.07264838386543336,0.13589777683682594,0.9287169042769857,0.6890582083230563
economic_only,Neutral/mixed,795,0.07233884875773759,0.15128251054055747,0.9308176100628931,0.7363307961901295
enso,El Nino,246,0.08594075420496677,0.17210511807901818,0.9146341463414634,0.89426483736377
enso,La Nina,491,0.07594975803865085,0.13819937878289468,0.9287169042769857,0.6866991158202279
enso,Neutral/mixed,795,0.07393778071641155,0.15355718120923875,0.9257861635220126,0.7325002975971265
historical_mean,El Nino,246,0.08584392526547856,0.1867034594390091,0.9186991869918699,0.9668857302205437
historical_mean,La Nina,491,0.0680123428918877,0.1320369211297063,0.9368635437881874,0.6883799933200071
historical_mean,Neutral/mixed,795,0.07050142413723877,0.14859010056749605,0.9408805031446541,0.7449804011262126
weather,El Nino,246,0.08575752790664885,0.1722625646618453,0.9146341463414634,0.8951947553322921
weather,La Nina,491,0.07642070808208941,0.13844795539560975,0.9287169042769857,0.6862365992652756
weather,Neutral/mixed,795,0.07402655405213941,0.1533981062875273,0.9232704402515723,0.7317889107214547
