crop,phase,difference,lower90,upper90,phase_years,neutral_years
cocoa,El Nino,-0.0003912126575404736,-0.03471078994397446,0.03258852810115885,18,28
cocoa,La Nina,-0.034824198237331384,-0.06865178384451563,-0.0013092403546176616,16,28
coconut,El Nino,-0.02840462489855059,-0.048749317959996576,-0.00882209048143068,18,28
coconut,La Nina,-0.0016886579387830059,-0.025185114610012008,0.022112802247190404,16,28
coffee,El Nino,-0.017544038748353957,-0.05097106164901017,0.015214240197411511,18,28
coffee,La Nina,-0.02223660968760466,-0.05493610276538639,0.0074787971427445355,16,28
maize,El Nino,-0.01844050084382102,-0.05489499993178567,0.01763049783539899,18,28
maize,La Nina,-0.0012411113678313587,-0.03146639032473658,0.026203212612375362,16,28
palm,El Nino,-0.019781074041521577,-0.04021924560666837,0.0022317824141521157,18,28
palm,La Nina,0.02197313685703773,-0.001182390637210506,0.04325896581919373,16,28
rice,El Nino,-0.03284996499754817,-0.05483590860865305,-0.013742507541086538,18,28
rice,La Nina,0.0031271616889596426,-0.02204411846742133,0.029020392550315455,16,28
sugar,El Nino,-0.0035785535487764964,-0.0241281499218861,0.017801374269607765,18,28
sugar,La Nina,0.01965744525453436,-0.0034420291814689736,0.043478013697430054,16,28
