variant,series,super_response_log_growth,training_rows
all_records_roni,AUS:maize,-0.09813912996643179,3793
all_records_roni,AUS:rice,-0.04191954095655574,3793
all_records_roni,AUS:sugar,-0.03247597278736493,3793
all_records_roni,FJI:cocoa,-0.01472112375007966,3793
all_records_roni,FJI:coconut,-0.06631898135401734,3793
all_records_roni,FJI:coffee,-0.18556229487370302,3793
all_records_roni,FJI:maize,0.10390074092332925,3793
all_records_roni,FJI:rice,-0.2617769486942646,3793
all_records_roni,FJI:sugar,-0.1584708046607315,3793
all_records_roni,IDN:cocoa,-0.07281735927918145,3793
all_records_roni,IDN:coconut,-0.06781657793635983,3793
all_records_roni,IDN:coffee,-0.017251535680416596,3793
all_records_roni,IDN:maize,-0.04545809211269596,3793
all_records_roni,IDN:palm,-0.03170419114471228,3793
all_records_roni,IDN:rice,-0.05037020951290057,3793
all_records_roni,IDN:sugar,-0.04325433497689225,3793
all_records_roni,MYS:cocoa,-0.0071807835951959165,3793
all_records_roni,MYS:coconut,-0.11134634089079623,3793
all_records_roni,MYS:coffee,0.018694825956329517,3793
all_records_roni,MYS:maize,0.004625850895497843,3793
all_records_roni,MYS:palm,-0.1112929192309562,3793
all_records_roni,MYS:rice,-0.08870751593949286,3793
all_records_roni,MYS:sugar,-0.0126180481810816,3793
all_records_roni,PHL:cocoa,-0.05037565265222602,3793
all_records_roni,PHL:coconut,-0.08925838634810573,3793
all_records_roni,PHL:coffee,-0.07573408175003349,3793
all_records_roni,PHL:maize,-0.0464647791531766,3793
all_records_roni,PHL:palm,-0.03165635444080811,3793
all_records_roni,PHL:rice,-0.06861965601388645,3793
all_records_roni,PHL:sugar,-0.13323741741313674,3793
all_records_roni,PNG:cocoa,-0.11660403610014916,3793
all_records_roni,PNG:coconut,-0.02857874335395288,3793
all_records_roni,PNG:coffee,-0.020618917777867243,3793
all_records_roni,PNG:maize,-0.13185240133068968,3793
all_records_roni,PNG:palm,-0.03366548431431922,3793
all_records_roni,PNG:rice,-0.07100367585982756,3793
all_records_roni,PNG:sugar,-0.017249577965289687,3793
all_records_roni,SLB:cocoa,-0.03539413524880772,3793
all_records_roni,SLB:coconut,-0.08309582666260809,3793
all_records_roni,SLB:palm,-0.1281480573539997,3793
all_records_roni,SLB:rice,-0.018362094987414018,3793
all_records_roni,THA:cocoa,0.012460332414950148,3793
all_records_roni,THA:coconut,-0.07591012440954942,3793
all_records_roni,THA:coffee,-0.07314727532283088,3793
all_records_roni,THA:maize,-0.09382176651359812,3793
all_records_roni,THA:palm,-0.12656515200958948,3793
all_records_roni,THA:rice,-0.05918842571274194,3793
all_records_roni,THA:sugar,-0.09798277205769827,3793
all_records_roni,TON:coconut,-0.07881546775945841,3793
all_records_roni,TON:coffee,-0.04808685140646084,3793
all_records_roni,VNM:coconut,-0.04045432581484496,3793
all_records_roni,VNM:coffee,-0.01674813623267369,3793
all_records_roni,VNM:maize,-0.03348724588362442,3793
all_records_roni,VNM:rice,-0.048643521746138264,3793
all_records_roni,VNM:sugar,-0.05633778463987836,3793
all_records_roni,VUT:cocoa,-0.045664422767745586,3793
all_records_roni,VUT:coconut,-0.10016263006643625,3793
all_records_roni,VUT:coffee,-0.0830710445709237,3793
all_records_roni,VUT:maize,-0.06439765517282357,3793
all_records_roni,WSM:cocoa,-0.05630815618939529,3793
all_records_roni,WSM:coconut,-0.22702056988157696,3793
all_records_roni,WSM:coffee,-0.008295210022927636,3793
all_records_roni,WSM:sugar,-0.05246299529718839,3793
oni_index,AUS:maize,-0.13211756205680347,3793
oni_index,AUS:rice,-0.049309449507215074,3793
oni_index,AUS:sugar,-0.046508759337433675,3793
oni_index,FJI:cocoa,0.1504152570193428,3793
oni_index,FJI:coconut,-0.06115273355144374,3793
oni_index,FJI:coffee,-0.15774906029406793,3793
oni_index,FJI:maize,0.036241109727472534,3793
oni_index,FJI:rice,-0.2896270485346834,3793
oni_index,FJI:sugar,-0.17215951461466014,3793
oni_index,IDN:cocoa,-0.06719247183918528,3793
oni_index,IDN:coconut,-0.07311046832934198,3793
oni_index,IDN:coffee,-0.016726659356342342,3793
oni_index,IDN:maize,-0.05172536911120822,3793
oni_index,IDN:palm,-0.045562978112078496,3793
oni_index,IDN:rice,-0.0630570482770419,3793
oni_index,IDN:sugar,-0.03989466957076461,3793
oni_index,MYS:cocoa,-0.03606727357148022,3793
oni_index,MYS:coconut,-0.11828053697777173,3793
oni_index,MYS:coffee,-0.012438598612260515,3793
oni_index,MYS:maize,0.010817322439478971,3793
oni_index,MYS:palm,-0.11561755524316408,3793
oni_index,MYS:rice,-0.10896816028203957,3793
oni_index,MYS:sugar,-0.07899050904412946,3793
oni_index,PHL:cocoa,-0.06977322800737173,3793
oni_index,PHL:coconut,-0.1126952954984014,3793
oni_index,PHL:coffee,-0.09292426683015723,3793
oni_index,PHL:maize,-0.06207615570859812,3793
oni_index,PHL:palm,-0.05250029041638591,3793
oni_index,PHL:rice,-0.08209519499012255,3793
oni_index,PHL:sugar,-0.12788972489253647,3793
oni_index,PNG:cocoa,-0.11354465050204623,3793
oni_index,PNG:coconut,-0.04573128013414406,3793
oni_index,PNG:coffee,-0.020198855177877513,3793
oni_index,PNG:maize,-0.15486798697386767,3793
oni_index,PNG:palm,-0.05199837317109895,3793
oni_index,PNG:rice,-0.07450538700886045,3793
oni_index,PNG:sugar,-0.03748001111521674,3793
oni_index,SLB:cocoa,-0.046952541849766063,3793
oni_index,SLB:coconut,-0.10975242175982354,3793
oni_index,SLB:palm,-0.16308833846951148,3793
oni_index,SLB:rice,-0.039775081069940016,3793
oni_index,THA:cocoa,-0.005812829244648224,3793
oni_index,THA:coconut,-0.08494796216355198,3793
oni_index,THA:coffee,-0.10412508533194723,3793
oni_index,THA:maize,-0.09661062752214383,3793
oni_index,THA:palm,-0.16024430039187926,3793
oni_index,THA:rice,-0.07245761105380207,3793
oni_index,THA:sugar,-0.12637558489913997,3793
oni_index,TON:coconut,-0.06067447761285789,3793
oni_index,TON:coffee,-0.05801589705994463,3793
oni_index,VNM:coconut,-0.06149639511044524,3793
oni_index,VNM:coffee,-0.0492911274170973,3793
oni_index,VNM:maize,-0.05150809626245739,3793
oni_index,VNM:rice,-0.05704315422368261,3793
oni_index,VNM:sugar,-0.06707831632805356,3793
oni_index,VUT:cocoa,-0.06932551939052553,3793
oni_index,VUT:coconut,-0.10245883361350913,3793
oni_index,VUT:coffee,-0.08925357245130351,3793
oni_index,VUT:maize,-0.07024320460502134,3793
oni_index,WSM:cocoa,-0.05480812798872527,3793
oni_index,WSM:coconut,-0.261305390785397,3793
oni_index,WSM:coffee,-0.013395069856846492,3793
oni_index,WSM:sugar,-0.05964999421435446,3793
official_current_and_previous,AUS:maize,-0.09451953027931959,1642
official_current_and_previous,AUS:rice,-0.04076759510705591,1642
official_current_and_previous,AUS:sugar,-0.033457686206096696,1642
official_current_and_previous,FJI:cocoa,-0.191143432068707,1642
official_current_and_previous,FJI:maize,0.0589944021800666,1642
official_current_and_previous,FJI:rice,-0.18473535119615195,1642
official_current_and_previous,FJI:sugar,-0.16472126280194063,1642
official_current_and_previous,IDN:cocoa,-0.09382158324106442,1642
official_current_and_previous,IDN:coffee,-0.0321920008738449,1642
official_current_and_previous,IDN:maize,-0.04384366765478678,1642
official_current_and_previous,IDN:rice,-0.04975408616821012,1642
official_current_and_previous,MYS:cocoa,-0.032454041538990674,1642
official_current_and_previous,MYS:coffee,0.0069042491108319975,1642
official_current_and_previous,MYS:rice,-0.08659754713951784,1642
official_current_and_previous,PHL:cocoa,-0.052750157036092926,1642
official_current_and_previous,PHL:coconut,-0.08466025989865462,1642
official_current_and_previous,PHL:coffee,-0.07410014380814181,1642
official_current_and_previous,PHL:maize,-0.04411617183275354,1642
official_current_and_previous,PHL:palm,-0.08686806021762558,1642
official_current_and_previous,PHL:rice,-0.06805468180962565,1642
official_current_and_previous,PHL:sugar,-0.11287836777064197,1642
official_current_and_previous,SLB:rice,-0.003981847971180152,1642
official_current_and_previous,THA:coconut,-0.06583695630447413,1642
official_current_and_previous,THA:coffee,-0.1016858517831793,1642
official_current_and_previous,THA:maize,-0.08432701883179164,1642
official_current_and_previous,THA:palm,-0.13846827294338937,1642
official_current_and_previous,THA:rice,-0.05613481006021989,1642
official_current_and_previous,THA:sugar,-0.0943465442816163,1642
official_current_and_previous,VNM:coconut,-0.05197128357730275,1642
official_current_and_previous,VNM:coffee,-0.07646866793739161,1642
official_current_and_previous,VNM:maize,-0.04024122990119594,1642
official_current_and_previous,VNM:rice,-0.04670553943994356,1642
official_current_and_previous,VNM:sugar,-0.03794161835787242,1642
exclude_1982_83_and_neighbors,AUS:maize,-0.07316462479536849,3550
exclude_1982_83_and_neighbors,AUS:rice,-0.03687697056612067,3550
exclude_1982_83_and_neighbors,AUS:sugar,-0.03736542040824109,3550
exclude_1982_83_and_neighbors,FJI:cocoa,0.04143127947760976,3550
exclude_1982_83_and_neighbors,FJI:coconut,-0.07135016781168656,3550
exclude_1982_83_and_neighbors,FJI:coffee,-0.285531740648592,3550
exclude_1982_83_and_neighbors,FJI:maize,0.11558575775644468,3550
exclude_1982_83_and_neighbors,FJI:rice,-0.26880495051234576,3550
exclude_1982_83_and_neighbors,FJI:sugar,-0.12843813941717297,3550
exclude_1982_83_and_neighbors,IDN:cocoa,-0.0900469152315381,3550
exclude_1982_83_and_neighbors,IDN:coconut,-0.0636554557354704,3550
exclude_1982_83_and_neighbors,IDN:coffee,-0.016391226371100732,3550
exclude_1982_83_and_neighbors,IDN:maize,-0.05635702567224267,3550
exclude_1982_83_and_neighbors,IDN:palm,-0.04477534271193542,3550
exclude_1982_83_and_neighbors,IDN:rice,-0.061910513916820585,3550
exclude_1982_83_and_neighbors,IDN:sugar,-0.029026069890706677,3550
exclude_1982_83_and_neighbors,MYS:cocoa,0.006935137345805517,3550
exclude_1982_83_and_neighbors,MYS:coconut,-0.12209249612908882,3550
exclude_1982_83_and_neighbors,MYS:coffee,0.018438354424448116,3550
exclude_1982_83_and_neighbors,MYS:maize,-0.025447027933277758,3550
exclude_1982_83_and_neighbors,MYS:palm,-0.11075402841994524,3550
exclude_1982_83_and_neighbors,MYS:rice,-0.08842675560254598,3550
exclude_1982_83_and_neighbors,MYS:sugar,-0.04105138489688738,3550
exclude_1982_83_and_neighbors,PHL:cocoa,-0.05275097262004444,3550
exclude_1982_83_and_neighbors,PHL:coconut,-0.08336474306452687,3550
exclude_1982_83_and_neighbors,PHL:coffee,-0.07213016637488384,3550
exclude_1982_83_and_neighbors,PHL:maize,-0.0532632413138117,3550
exclude_1982_83_and_neighbors,PHL:palm,-0.039626301190010614,3550
exclude_1982_83_and_neighbors,PHL:rice,-0.07387094096919172,3550
exclude_1982_83_and_neighbors,PHL:sugar,-0.13288307478663094,3550
exclude_1982_83_and_neighbors,PNG:cocoa,-0.11705117477391301,3550
exclude_1982_83_and_neighbors,PNG:coconut,-0.028410170935824014,3550
exclude_1982_83_and_neighbors,PNG:coffee,-0.031244046913864308,3550
exclude_1982_83_and_neighbors,PNG:maize,-0.16378612484392777,3550
exclude_1982_83_and_neighbors,PNG:palm,-0.056985138760338394,3550
exclude_1982_83_and_neighbors,PNG:rice,-0.06961206381994038,3550
exclude_1982_83_and_neighbors,PNG:sugar,-0.07678597892449078,3550
exclude_1982_83_and_neighbors,SLB:cocoa,-0.043827540374438353,3550
exclude_1982_83_and_neighbors,SLB:coconut,-0.08813195504540784,3550
exclude_1982_83_and_neighbors,SLB:palm,-0.14301919117071088,3550
exclude_1982_83_and_neighbors,SLB:rice,-0.03394763205582689,3550
exclude_1982_83_and_neighbors,THA:cocoa,0.01816205460932506,3550
exclude_1982_83_and_neighbors,THA:coconut,-0.10069344442982947,3550
exclude_1982_83_and_neighbors,THA:coffee,-0.09977276765216361,3550
exclude_1982_83_and_neighbors,THA:maize,-0.09619021828849575,3550
exclude_1982_83_and_neighbors,THA:palm,-0.11764254710524258,3550
exclude_1982_83_and_neighbors,THA:rice,-0.06714682080016439,3550
exclude_1982_83_and_neighbors,THA:sugar,-0.09985606838107407,3550
exclude_1982_83_and_neighbors,TON:coconut,-0.08281178658921734,3550
exclude_1982_83_and_neighbors,TON:coffee,-0.05255409416073886,3550
exclude_1982_83_and_neighbors,VNM:coconut,-0.0647760877599146,3550
exclude_1982_83_and_neighbors,VNM:coffee,-0.006899353048422277,3550
exclude_1982_83_and_neighbors,VNM:maize,-0.045327064342080746,3550
exclude_1982_83_and_neighbors,VNM:rice,-0.06927320271676894,3550
exclude_1982_83_and_neighbors,VNM:sugar,-0.07169541835084281,3550
exclude_1982_83_and_neighbors,VUT:cocoa,-0.0687792677257974,3550
exclude_1982_83_and_neighbors,VUT:coconut,-0.09090119749898702,3550
exclude_1982_83_and_neighbors,VUT:coffee,-0.04562846323723825,3550
exclude_1982_83_and_neighbors,VUT:maize,-0.0697899963405607,3550
exclude_1982_83_and_neighbors,WSM:cocoa,-0.050177594593919225,3550
exclude_1982_83_and_neighbors,WSM:coconut,-0.26154564293818877,3550
exclude_1982_83_and_neighbors,WSM:coffee,-0.021830474835102108,3550
exclude_1982_83_and_neighbors,WSM:sugar,-0.06016310822515536,3550
exclude_1997_98_and_neighbors,AUS:maize,-0.09709352788626609,3545
exclude_1997_98_and_neighbors,AUS:rice,-0.09489298006204064,3545
exclude_1997_98_and_neighbors,AUS:sugar,-0.04410673997946291,3545
exclude_1997_98_and_neighbors,FJI:cocoa,-0.028406556697224736,3545
exclude_1997_98_and_neighbors,FJI:coconut,-0.07423353713161945,3545
exclude_1997_98_and_neighbors,FJI:coffee,-0.20210698227528912,3545
exclude_1997_98_and_neighbors,FJI:maize,0.09029235392225081,3545
exclude_1997_98_and_neighbors,FJI:rice,-0.19460535678332033,3545
exclude_1997_98_and_neighbors,FJI:sugar,-0.15649189371640623,3545
exclude_1997_98_and_neighbors,IDN:cocoa,-0.10010304577639231,3545
exclude_1997_98_and_neighbors,IDN:coconut,-0.07772443920931468,3545
exclude_1997_98_and_neighbors,IDN:coffee,-0.04136983561715652,3545
exclude_1997_98_and_neighbors,IDN:maize,-0.05791903576154459,3545
exclude_1997_98_and_neighbors,IDN:palm,-0.03790416373769338,3545
exclude_1997_98_and_neighbors,IDN:rice,-0.05518317914314605,3545
exclude_1997_98_and_neighbors,IDN:sugar,-0.06081352657393092,3545
exclude_1997_98_and_neighbors,MYS:cocoa,-0.02465189774689297,3545
exclude_1997_98_and_neighbors,MYS:coconut,-0.11296653952582965,3545
exclude_1997_98_and_neighbors,MYS:coffee,0.0020576236257014782,3545
exclude_1997_98_and_neighbors,MYS:maize,-0.0038031114503863234,3545
exclude_1997_98_and_neighbors,MYS:palm,-0.11450406826133461,3545
exclude_1997_98_and_neighbors,MYS:rice,-0.08821769523209894,3545
exclude_1997_98_and_neighbors,MYS:sugar,-0.02351864015610445,3545
exclude_1997_98_and_neighbors,PHL:cocoa,-0.06102665642108538,3545
exclude_1997_98_and_neighbors,PHL:coconut,-0.11481516477762779,3545
exclude_1997_98_and_neighbors,PHL:coffee,-0.0862079581047386,3545
exclude_1997_98_and_neighbors,PHL:maize,-0.06071646283972588,3545
exclude_1997_98_and_neighbors,PHL:palm,-0.04210914365998053,3545
exclude_1997_98_and_neighbors,PHL:rice,-0.07462910491487126,3545
exclude_1997_98_and_neighbors,PHL:sugar,-0.14859625849897629,3545
exclude_1997_98_and_neighbors,PNG:cocoa,-0.11603993175500409,3545
exclude_1997_98_and_neighbors,PNG:coconut,-0.024939480864330225,3545
exclude_1997_98_and_neighbors,PNG:coffee,-0.0037575221443192502,3545
exclude_1997_98_and_neighbors,PNG:maize,-0.17358065377482962,3545
exclude_1997_98_and_neighbors,PNG:palm,-0.03966147164480881,3545
exclude_1997_98_and_neighbors,PNG:rice,-0.08303955571641446,3545
exclude_1997_98_and_neighbors,PNG:sugar,-0.025745478087907257,3545
exclude_1997_98_and_neighbors,SLB:cocoa,-0.053425663929020706,3545
exclude_1997_98_and_neighbors,SLB:coconut,-0.10566645777676414,3545
exclude_1997_98_and_neighbors,SLB:palm,-0.15470794561304707,3545
exclude_1997_98_and_neighbors,SLB:rice,-0.009845580196153149,3545
exclude_1997_98_and_neighbors,THA:cocoa,-0.024611424297182626,3545
exclude_1997_98_and_neighbors,THA:coconut,-0.08620951234008173,3545
exclude_1997_98_and_neighbors,THA:coffee,-0.09115178411819798,3545
exclude_1997_98_and_neighbors,THA:maize,-0.10011681532959002,3545
exclude_1997_98_and_neighbors,THA:palm,-0.11793796294985748,3545
exclude_1997_98_and_neighbors,THA:rice,-0.07104341239795396,3545
exclude_1997_98_and_neighbors,THA:sugar,-0.0912105821432323,3545
exclude_1997_98_and_neighbors,TON:coconut,-0.08358246309983652,3545
exclude_1997_98_and_neighbors,TON:coffee,-0.07097928940847449,3545
exclude_1997_98_and_neighbors,VNM:coconut,-0.0260883883174388,3545
exclude_1997_98_and_neighbors,VNM:coffee,-0.018856293027092158,3545
exclude_1997_98_and_neighbors,VNM:maize,-0.03841170217933841,3545
exclude_1997_98_and_neighbors,VNM:rice,-0.061921875755762926,3545
exclude_1997_98_and_neighbors,VNM:sugar,-0.0651813233414142,3545
exclude_1997_98_and_neighbors,VUT:cocoa,-0.05239909952605345,3545
exclude_1997_98_and_neighbors,VUT:coconut,-0.1438490921289159,3545
exclude_1997_98_and_neighbors,VUT:coffee,-0.09598005080809557,3545
exclude_1997_98_and_neighbors,VUT:maize,-0.07720951038194224,3545
