crop,phase,n,yield_growth,area_growth,temperature_c,annual_rain_mm
cocoa,El Nino,157,0.01166138644202204,0.010461975142629308,25.669092356687898,2565.7766242038215
cocoa,La Nina,140,-0.023237134161167856,0.03326378059007201,25.726994047619048,2939.331857142857
cocoa,Neutral/mixed,242,0.013134974191030381,0.023692929886944068,25.6864152892562,2749.8457851239673
coconut,El Nino,191,-0.01354435480694504,0.002935769185462106,25.5571815008726,2381.6088481675392
coconut,La Nina,171,0.012776174009505639,-0.021417264793770447,25.586973684210523,2714.26216374269
coconut,Neutral/mixed,296,0.015140097868512564,0.0041045335651084345,25.59192286036036,2536.8975337837837
coffee,El Nino,172,0.006662108565622576,-0.003134084221874692,25.5203003875969,2315.1838372093025
coffee,La Nina,155,0.003712174437528886,0.018428646250119866,25.54286559139785,2692.5480000000002
coffee,Neutral/mixed,270,0.025945724920918557,0.013366452998283223,25.5382037037037,2490.0704444444445
maize,El Nino,153,0.0028676122828835133,-0.009442648786225053,24.891149237472767,2074.03862745098
maize,La Nina,135,0.021906818882921557,0.0007993463553593646,24.87843827160494,2399.6681481481482
maize,Neutral/mixed,238,0.023801872063673717,0.04555323333512169,24.896593137254904,2197.622773109244
palm,El Nino,104,-0.01809393761811161,0.0985308653652516,25.975176282051283,2521.201538461539
palm,La Nina,95,0.024432097159799434,0.12458500969061823,25.877070175438597,2831.846526315789
palm,Neutral/mixed,163,0.002830287933913228,0.0766875862206911,25.92879856850716,2684.4674233128835
rice,El Nino,160,-0.015630817235810945,-0.019463905465262315,25.158369791666665,2168.03175
rice,La Nina,142,0.019758631677711018,0.039922764614842086,25.11205985915493,2465.4147183098594
rice,Neutral/mixed,251,0.01727337944886231,0.009496681624656422,25.155132802124836,2311.3453386454185
sugar,El Nino,162,-0.009766953251830827,0.03797042852353601,25.315041152263376,2129.027962962963
sugar,La Nina,144,0.013469045551480027,0.029495612675188368,25.268350694444443,2486.82625
sugar,Neutral/mixed,252,-0.006188399703054333,0.005229116142489877,25.312470238095237,2317.322261904762
