simulation,scenario,country,basis,loss_usd
0,super_stress,PORTFOLIO,climate_increment,504530139.30965346
1,super_stress,PORTFOLIO,climate_increment,362503837.4039688
2,super_stress,PORTFOLIO,climate_increment,754760561.7670921
3,super_stress,PORTFOLIO,climate_increment,-176792791.7046906
4,super_stress,PORTFOLIO,climate_increment,733213930.9954975
5,super_stress,PORTFOLIO,climate_increment,290026456.4059505
6,super_stress,PORTFOLIO,climate_increment,1032750498.7703351
7,super_stress,PORTFOLIO,climate_increment,777198779.6807659
8,super_stress,PORTFOLIO,climate_increment,280185179.9347499
9,super_stress,PORTFOLIO,climate_increment,-138293595.05281255
10,super_stress,PORTFOLIO,climate_increment,911850418.2761314
11,super_stress,PORTFOLIO,climate_increment,133975915.38903295
12,super_stress,PORTFOLIO,climate_increment,499064323.654143
13,super_stress,PORTFOLIO,climate_increment,39793787.07713626
14,super_stress,PORTFOLIO,climate_increment,670565527.5036194
15,super_stress,PORTFOLIO,climate_increment,935462153.5780485
16,super_stress,PORTFOLIO,climate_increment,326780064.0466496
17,super_stress,PORTFOLIO,climate_increment,443432560.240736
18,super_stress,PORTFOLIO,climate_increment,220722778.95725262
19,super_stress,PORTFOLIO,climate_increment,834921588.0852287
20,super_stress,PORTFOLIO,climate_increment,29303254.66911115
21,super_stress,PORTFOLIO,climate_increment,933197432.499994
22,super_stress,PORTFOLIO,climate_increment,148772632.17482242
23,super_stress,PORTFOLIO,climate_increment,638910724.7205733
24,super_stress,PORTFOLIO,climate_increment,558177096.4104456
25,super_stress,PORTFOLIO,climate_increment,629813921.3349246
26,super_stress,PORTFOLIO,climate_increment,671224158.2597052
27,super_stress,PORTFOLIO,climate_increment,697590985.8333552
28,super_stress,PORTFOLIO,climate_increment,1733311640.0888858
29,super_stress,PORTFOLIO,climate_increment,209749893.31662896
30,super_stress,PORTFOLIO,climate_increment,833222236.4515096
31,super_stress,PORTFOLIO,climate_increment,475405086.2317941
32,super_stress,PORTFOLIO,climate_increment,898164160.6838465
33,super_stress,PORTFOLIO,climate_increment,290764698.0654676
34,super_stress,PORTFOLIO,climate_increment,741757345.5362718
35,super_stress,PORTFOLIO,climate_increment,724692578.8239173
36,super_stress,PORTFOLIO,climate_increment,556899983.2926997
37,super_stress,PORTFOLIO,climate_increment,-316150365.589065
38,super_stress,PORTFOLIO,climate_increment,244358014.50823027
39,super_stress,PORTFOLIO,climate_increment,276940266.4277401
40,super_stress,PORTFOLIO,climate_increment,362746384.0429795
41,super_stress,PORTFOLIO,climate_increment,677803125.8327609
42,super_stress,PORTFOLIO,climate_increment,28176502.00771124
43,super_stress,PORTFOLIO,climate_increment,744825195.1007707
44,super_stress,PORTFOLIO,climate_increment,425567171.28275245
45,super_stress,PORTFOLIO,climate_increment,404095300.07672507
46,super_stress,PORTFOLIO,climate_increment,1111969663.3839467
47,super_stress,PORTFOLIO,climate_increment,850043703.7884018
48,super_stress,PORTFOLIO,climate_increment,862985871.1971768
49,super_stress,PORTFOLIO,climate_increment,758860406.3936002
50,super_stress,PORTFOLIO,climate_increment,294907431.0244449
51,super_stress,PORTFOLIO,climate_increment,323233648.4788553
52,super_stress,PORTFOLIO,climate_increment,789926166.8979944
53,super_stress,PORTFOLIO,climate_increment,415754928.4576344
54,super_stress,PORTFOLIO,climate_increment,128339317.60146429
55,super_stress,PORTFOLIO,climate_increment,140082953.2799379
56,super_stress,PORTFOLIO,climate_increment,411237556.64575857
57,super_stress,PORTFOLIO,climate_increment,662915318.0051718
58,super_stress,PORTFOLIO,climate_increment,98755386.24105643
59,super_stress,PORTFOLIO,climate_increment,327591674.16883415
60,super_stress,PORTFOLIO,climate_increment,561329954.7794312
61,super_stress,PORTFOLIO,climate_increment,324184832.8084854
62,super_stress,PORTFOLIO,climate_increment,283428954.76649714
63,super_stress,PORTFOLIO,climate_increment,308131752.3913736
64,super_stress,PORTFOLIO,climate_increment,1018225693.4164153
65,super_stress,PORTFOLIO,climate_increment,617502547.6874135
66,super_stress,PORTFOLIO,climate_increment,501988195.91002595
67,super_stress,PORTFOLIO,climate_increment,793109606.4122624
68,super_stress,PORTFOLIO,climate_increment,918542707.5876317
69,super_stress,PORTFOLIO,climate_increment,129767967.86820588
70,super_stress,PORTFOLIO,climate_increment,354422186.1085444
71,super_stress,PORTFOLIO,climate_increment,409440122.6879515
72,super_stress,PORTFOLIO,climate_increment,-3462909.9059233377
73,super_stress,PORTFOLIO,climate_increment,910594577.2905861
74,super_stress,PORTFOLIO,climate_increment,1081500292.4014335
75,super_stress,PORTFOLIO,climate_increment,417388527.7811656
76,super_stress,PORTFOLIO,climate_increment,485507276.4086663
77,super_stress,PORTFOLIO,climate_increment,-64803231.12522117
78,super_stress,PORTFOLIO,climate_increment,503241660.96306413
79,super_stress,PORTFOLIO,climate_increment,176939207.9239454
80,super_stress,PORTFOLIO,climate_increment,-234980607.00933477
81,super_stress,PORTFOLIO,climate_increment,86573686.04070471
82,super_stress,PORTFOLIO,climate_increment,237771854.8090707
83,super_stress,PORTFOLIO,climate_increment,292020507.9000055
84,super_stress,PORTFOLIO,climate_increment,864094783.0789447
85,super_stress,PORTFOLIO,climate_increment,364173105.65250677
86,super_stress,PORTFOLIO,climate_increment,344180228.73381144
87,super_stress,PORTFOLIO,climate_increment,373628826.55790955
88,super_stress,PORTFOLIO,climate_increment,445280224.9123453
89,super_stress,PORTFOLIO,climate_increment,9180423.25608085
90,super_stress,PORTFOLIO,climate_increment,236096956.87836516
91,super_stress,PORTFOLIO,climate_increment,689770941.7313654
92,super_stress,PORTFOLIO,climate_increment,385496611.03891814
93,super_stress,PORTFOLIO,climate_increment,1164407893.7858777
94,super_stress,PORTFOLIO,climate_increment,48341920.907653764
95,super_stress,PORTFOLIO,climate_increment,797586549.611522
96,super_stress,PORTFOLIO,climate_increment,843086691.5012554
97,super_stress,PORTFOLIO,climate_increment,752641523.4722817
98,super_stress,PORTFOLIO,climate_increment,118794985.00877476
99,super_stress,PORTFOLIO,climate_increment,817948869.9306964
100,super_stress,PORTFOLIO,climate_increment,347646375.26930416
101,super_stress,PORTFOLIO,climate_increment,380366071.77057016
102,super_stress,PORTFOLIO,climate_increment,451864013.15998733
103,super_stress,PORTFOLIO,climate_increment,387071188.62743104
104,super_stress,PORTFOLIO,climate_increment,756738260.7523693
105,super_stress,PORTFOLIO,climate_increment,473460858.5445256
106,super_stress,PORTFOLIO,climate_increment,289302226.63157374
107,super_stress,PORTFOLIO,climate_increment,277214964.075502
108,super_stress,PORTFOLIO,climate_increment,824462895.0751297
109,super_stress,PORTFOLIO,climate_increment,1099122843.0122797
110,super_stress,PORTFOLIO,climate_increment,457556109.42415214
111,super_stress,PORTFOLIO,climate_increment,730549645.0084653
112,super_stress,PORTFOLIO,climate_increment,401609675.1895687
113,super_stress,PORTFOLIO,climate_increment,490296068.28750867
114,super_stress,PORTFOLIO,climate_increment,173983314.84428465
115,super_stress,PORTFOLIO,climate_increment,201573630.33887175
116,super_stress,PORTFOLIO,climate_increment,256811939.5398259
117,super_stress,PORTFOLIO,climate_increment,266033508.703898
118,super_stress,PORTFOLIO,climate_increment,616380147.5839211
119,super_stress,PORTFOLIO,climate_increment,1143834378.6579347
120,super_stress,PORTFOLIO,climate_increment,705820565.7619274
121,super_stress,PORTFOLIO,climate_increment,406432971.1473413
122,super_stress,PORTFOLIO,climate_increment,1112093099.1652157
123,super_stress,PORTFOLIO,climate_increment,426962914.63039505
124,super_stress,PORTFOLIO,climate_increment,578819821.1652398
125,super_stress,PORTFOLIO,climate_increment,476447873.19480854
126,super_stress,PORTFOLIO,climate_increment,435319693.31307244
127,super_stress,PORTFOLIO,climate_increment,81858050.0091915
128,super_stress,PORTFOLIO,climate_increment,382672312.3495116
129,super_stress,PORTFOLIO,climate_increment,798160741.7417127
130,super_stress,PORTFOLIO,climate_increment,633539747.6508938
131,super_stress,PORTFOLIO,climate_increment,406789495.73195976
132,super_stress,PORTFOLIO,climate_increment,675784132.5523068
133,super_stress,PORTFOLIO,climate_increment,344726583.7980053
134,super_stress,PORTFOLIO,climate_increment,166282035.56990033
