scenario,country,basis,expected_net_loss_usd,probability_loss,var95_usd,var99_usd,es95_usd,es99_usd,probability_buffer_exceeded,illustrative_layer_pure_premium_usd,illustrative_layer_loaded_premium_usd
neutral,AUS,climate_increment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neutral,AUS,baseline_shortfall,26489.683585044968,0.5053,27146914.633563533,37815150.22332206,33722714.649868965,42978733.39991292,0.0,2998580.834824165,3598297.0017889976
neutral,FJI,climate_increment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neutral,FJI,baseline_shortfall,-1947.3870635077703,0.5235,909990.1798048893,1415876.7023591755,1205118.5369207978,1670925.8792727087,0.0,0.0,0.0
neutral,IDN,climate_increment,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
neutral,IDN,baseline_shortfall,1190478.2338911712,0.5428,572030903.2670904,923958528.4465643,779687605.2895881,1105341104.7452652,,46311725.03911242,55574070.0469349
neutral,MYS,climate_increment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neutral,MYS,baseline_shortfall,-365718.0232196661,0.5324,108292629.81469677,186340485.8659907,156742986.472446,225121837.4599855,0.0,17118018.815469917,20541622.5785639
neutral,PHL,climate_increment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neutral,PHL,baseline_shortfall,-112402.63418375539,0.5107,139666868.28468537,233094191.01913908,194857273.36523664,299579454.81094897,0.0,23347143.95839787,28016572.75007744
neutral,THA,climate_increment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neutral,THA,baseline_shortfall,209065.33260743026,0.5316,232120904.6327492,334224844.7582199,292720443.5840612,383750271.8214269,0.0,34453985.3795789,41344782.45549468
neutral,TON,climate_increment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neutral,TON,baseline_shortfall,2345.1989029253514,0.5263,573843.4267596824,943028.1522768565,794253.1921972097,1111562.0064540224,0.0008,0.0,0.0
neutral,VNM,climate_increment,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
neutral,VNM,baseline_shortfall,-390464.4299063604,0.5779,179607290.1954205,255624104.1657149,226232184.59711647,295735555.1399915,,31833011.29425128,38199613.55310154
neutral,VUT,climate_increment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neutral,VUT,baseline_shortfall,552.4861207038729,0.5815,1056001.839754249,1577515.0303114494,1370331.859704817,1787024.037457128,0.0,0.0,0.0
neutral,WSM,climate_increment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neutral,WSM,baseline_shortfall,23.51106647864785,0.5127,279954.71226745914,728895.3597860471,550299.7781416519,1053604.3118433815,0.0,0.0,0.0
neutral,PORTFOLIO,climate_increment,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
neutral,PORTFOLIO,baseline_shortfall,558421.9718004615,0.5367,843072574.5177996,1363633698.0218947,1122342911.5570807,1659414533.498102,,48533867.04827952,58240640.457935415
el_nino,AUS,climate_increment,3258592.863838038,0.8809,9150020.330241008,12480765.718643365,11400253.365554025,15005592.827850146,0.0,76364.07272307083,91636.88726768499
el_nino,AUS,baseline_shortfall,3285082.547423083,0.5749,30478656.529242065,42138522.02703913,37705599.56276604,47659685.43127258,0.0,4117801.3771571447,4941361.652588573
el_nino,FJI,climate_increment,134252.74255133094,0.9509,321579.4236611882,466377.3584585597,420520.57940958824,593459.5598031555,0.0,0.0,0.0
el_nino,FJI,baseline_shortfall,132305.35548782317,0.6237,1051287.7724912553,1580309.1832788833,1349356.029357789,1822824.9179800067,0.0,0.0,0.0
el_nino,IDN,climate_increment,93577540.24590601,0.9427,226195180.9884885,312904573.0537493,283733955.55907196,373464056.33885473,,64297731.35694084,77157277.62832901
el_nino,IDN,baseline_shortfall,94768018.47979717,0.6773,679703841.3907125,1011661561.9660215,888099301.8294636,1210920463.6439471,,59210140.78138093,71052168.93765712
el_nino,MYS,climate_increment,-9474296.384128029,0.3343,27326637.242365498,48104371.071919285,39947968.35750104,57634932.4007655,0.0,2356063.2182096113,2827275.8618515334
el_nino,MYS,baseline_shortfall,-9840014.407347696,0.4477,104723886.91699502,181753273.25064668,152097098.94806874,222364753.0518631,0.0,15337025.141870853,18404430.17024502
el_nino,PHL,climate_increment,47870847.71448027,0.9879,95035050.72867708,121326285.8418746,110867200.14071457,133493497.68043979,0.0,37882977.85059326,45459573.42071191
el_nino,PHL,baseline_shortfall,47758445.080296524,0.7209,193742520.1117363,282313545.05724275,249582523.3532367,343129507.1662392,0.0,41937422.94471123,50324907.533653475
el_nino,THA,climate_increment,21624518.28540527,0.8402,67508106.12669243,94094786.60827519,84048723.76274952,110489580.90548761,0.0,15951096.537813842,19141315.84537661
el_nino,THA,baseline_shortfall,21833583.618012697,0.5901,256619708.3235416,358228821.1706935,318282899.89683825,410443610.966572,0.0,40356779.23623081,48428135.083476976
el_nino,TON,climate_increment,40875.1976242005,0.6848,195833.20787095546,291899.9228409516,256182.05847391847,347374.16897900676,0.0,0.0,0.0
el_nino,TON,baseline_shortfall,43220.39652712585,0.6021,615240.074300868,995829.7934771482,841232.5735035883,1163631.1751306339,0.0012,0.0,0.0
el_nino,VNM,climate_increment,33728911.75257888,0.9718,75789374.22788964,100553297.86081892,90964176.97989553,114922364.14610313,,24518043.532464672,29421652.238957606
el_nino,VNM,baseline_shortfall,33338447.322672516,0.6728,217464601.89638326,298465096.7544006,268258473.58709973,342130457.84464985,,43044211.88156224,51653054.25787469
el_nino,VUT,climate_increment,84620.70924067903,0.8531,249249.43478343872,340963.5255888809,310495.49844242603,407352.8451082735,0.0,0.0,0.0
el_nino,VUT,baseline_shortfall,85173.1953613829,0.6569,1133191.6601503305,1676455.8657886316,1448248.8096394765,1876978.576881636,0.0,0.0,0.0
el_nino,WSM,climate_increment,23498.882857522913,0.6344,150538.07634794374,225265.35843733666,195780.74929846314,261177.52795916636,0.0,0.0,0.0
el_nino,WSM,baseline_shortfall,23522.393924001564,0.5777,341500.1021652301,762487.2633515873,583748.4100011206,1065383.836108182,0.0,0.0,0.0
el_nino,PORTFOLIO,climate_increment,190869362.01035416,0.9661,387221598.1576584,493144044.43545854,453694186.76315695,559034130.6298168,,88300990.87577495,105961189.05092993
el_nino,PORTFOLIO,baseline_shortfall,191427783.98215464,0.6683,1045189982.302423,1512401361.80555,1321085005.2455292,1819316118.6387424,,62463629.938687965,74956355.92642556
la_nina,AUS,climate_increment,1690054.944847601,0.6851,8854637.451575626,12940302.168457221,11397232.704294575,15008433.641518435,0.0,79694.19328095914,95633.03193715097
la_nina,AUS,baseline_shortfall,1716544.628432646,0.5545,29539895.712897643,40759013.830463156,36431707.976091735,46366054.83178354,0.0,3627250.69310757,4352700.831729084
la_nina,FJI,climate_increment,121323.08975977763,0.8923,335192.4521082721,466411.479611763,420226.7371406788,563180.7831611151,0.0,0.0,0.0
la_nina,FJI,baseline_shortfall,119375.70269626987,0.6138,1046234.1973514188,1529039.3746493943,1343118.7027298976,1803336.4602310625,0.0,0.0,0.0
la_nina,IDN,climate_increment,-70743454.57654318,0.2683,112716369.10096952,203253909.74082866,170260077.99526253,261952987.0600279,,12073964.12513616,14488756.95016339
la_nina,IDN,baseline_shortfall,-69552976.34265201,0.4817,537600428.9597485,869502864.8441516,739720622.44694,1059562954.8921907,,40387892.6961777,48465471.23541324
la_nina,MYS,climate_increment,-24907581.01708117,0.105,6529105.095160641,19962185.01503946,15081995.391423304,28078724.22551639,0.0,282834.7947344484,339401.7536813381
la_nina,MYS,baseline_shortfall,-25273299.04030084,0.3464,87732483.49683334,163374951.04854217,134729761.5943344,200108819.6984339,0.0,11053045.409296375,13263654.491155649
la_nina,PHL,climate_increment,-10004009.297192382,0.3563,26996705.304178666,43604240.48417326,37520718.47883198,55388074.40018385,0.0,2503798.536987406,3004558.244384887
la_nina,PHL,baseline_shortfall,-10116411.931376139,0.4551,134117735.41445684,231622828.02922586,192471111.54983965,293931162.9274849,0.0,21013896.27383146,25216675.528597753
la_nina,THA,climate_increment,-34936664.45791891,0.1258,10923343.608489363,34768333.81682112,24803159.289164055,47409441.976105705,0.0,741848.888446626,890218.6661359512
la_nina,THA,baseline_shortfall,-34727599.12531147,0.4431,199246351.67713925,307225986.121338,263141252.93424037,356072573.2000473,0.0,26529598.16730659,31835517.800767906
la_nina,TON,climate_increment,-79506.71597040132,0.1257,31589.418556814962,82565.2499933832,64176.607858567186,120754.75016608222,0.0,0.0,0.0
la_nina,TON,baseline_shortfall,-77161.51706747596,0.3948,513558.9897584032,885009.7265190424,737257.3787253929,1059442.8206975448,0.0004,0.0,0.0
la_nina,VNM,climate_increment,-42065603.37388643,0.0545,688774.2401549437,15746021.486148177,10028940.523689063,23849074.66613772,,164091.40553087587,196909.68663705103
la_nina,VNM,baseline_shortfall,-42456067.80379279,0.4163,139715243.7884397,219572566.9743667,187313856.4168671,256274676.45652765,,20574299.49468258,24689159.393619094
la_nina,VUT,climate_increment,32407.43583401234,0.6657,175923.44104355626,262499.5987289354,231759.17809181908,321555.298303715,0.0,0.0,0.0
la_nina,VUT,baseline_shortfall,32959.92195471622,0.6036,1088457.7519310492,1617405.892511929,1416622.9626804215,1846035.3803797285,0.0,0.0,0.0
la_nina,WSM,climate_increment,9682.382173305616,0.6307,64704.85379550904,99487.13316914397,85726.17556695732,118667.08264852653,0.0,0.0,0.0
la_nina,WSM,baseline_shortfall,9705.893239784265,0.5412,299459.5080034572,750551.9040278076,559774.9375596656,1057858.0212177353,0.0,0.0,0.0
la_nina,PORTFOLIO,climate_increment,-180883351.5859778,0.1322,81796691.3542212,194158621.88057193,151090247.34470692,254459632.25724843,,6975781.281301898,8370937.537562277
la_nina,PORTFOLIO,baseline_shortfall,-180324929.61417735,0.4017,705482774.4524215,1232401542.8557186,1005278163.6735342,1534481515.6613138,,35745978.42805015,42895174.11366018
super_stress,AUS,climate_increment,8499291.676274208,0.9042,22643271.40881245,31708106.612305347,27941610.18078307,36442286.51382038,0.0,2379900.7646176424,2855880.917541171
super_stress,AUS,baseline_shortfall,8525781.359859252,0.6913,37490570.959659435,49978860.57841214,45134423.89226127,56255153.04672287,0.0,6407763.874402279,7689316.649282735
super_stress,FJI,climate_increment,266427.38501816534,0.9112,685046.1606417937,958184.5834238571,851575.5430612687,1098690.9030851887,0.0,0.0,0.0
super_stress,FJI,baseline_shortfall,264479.99795465753,0.7161,1246502.089386881,1764588.253949658,1554691.9998238168,2032471.9235679249,0.0,0.0,0.0
super_stress,IDN,climate_increment,205440344.581751,0.8948,558873635.3365172,787683786.5446815,717221371.8184713,993902562.8841285,,78160439.44112048,93792527.32934457
super_stress,IDN,baseline_shortfall,206630822.81564215,0.7798,839908785.755522,1196740524.4013088,1062473627.841805,1397454953.4600635,,71075315.92744067,85290379.11292881
super_stress,MYS,climate_increment,27941805.214575756,0.7211,117569293.59098084,166521065.20904002,146666989.1377758,192022266.54471016,0.0,27563093.997552913,33075712.797063492
super_stress,MYS,baseline_shortfall,27576087.191356093,0.6496,162863724.15285063,247554824.5094436,214395702.93402448,294768765.1605082,0.0,32981107.09135954,39577328.50963145
super_stress,PHL,climate_increment,125571431.97543155,0.9925,243038952.5436671,308165864.41085327,281226495.5938215,337011277.6858424,0.0,82735787.38412862,99282944.86095433
super_stress,PHL,baseline_shortfall,125459029.34124775,0.9315,295633919.2210074,389497419.92205155,353743879.55464,446197688.98232424,0.0,73821646.48969153,88585975.78762983
super_stress,THA,climate_increment,46997913.218399905,0.8006,165663691.6378556,233579516.3992351,208283766.84425238,273919493.5565718,0.0,40566606.79847621,48679928.15817145
super_stress,THA,baseline_shortfall,47206978.55100734,0.6655,297163265.9365154,415186925.6116591,366977121.09390426,471905695.4432567,0.0,47890792.173671074,57468950.608405285
super_stress,TON,climate_increment,-41468.79713702956,0.4499,279018.09311306145,450665.90218020667,383725.02563263586,541399.0794599489,0.0,0.0,0.0
super_stress,TON,baseline_shortfall,-39123.59823410422,0.4864,598431.3575018403,976682.1077192796,824664.2966256043,1151688.6198107693,0.0007,0.0,0.0
super_stress,VNM,climate_increment,70271571.02075244,0.9538,165860265.94619155,220166711.6113329,199908020.64413443,252079615.04142642,,53922818.39262286,64707382.07114743
super_stress,VNM,baseline_shortfall,69881106.59084608,0.7649,267779545.5496219,365184918.24309236,324949685.1031568,408430335.594928,,55503541.95636294,66604250.34763552
super_stress,VUT,climate_increment,175348.06614055866,0.8417,520999.470724302,746741.8141277465,659354.3624409684,890463.493818469,0.0,0.0,0.0
