scenario,series,mean_increment_usd,portfolio_tail_contribution_usd
neutral,AUS:maize,0.0,0.0
neutral,AUS:rice,0.0,0.0
neutral,AUS:sugar,0.0,0.0
neutral,FJI:cocoa,0.0,0.0
neutral,FJI:coconut,0.0,0.0
neutral,FJI:maize,0.0,0.0
neutral,FJI:rice,0.0,0.0
neutral,FJI:sugar,0.0,0.0
neutral,IDN:cocoa,0.0,0.0
neutral,IDN:coconut,0.0,0.0
neutral,IDN:coffee,0.0,0.0
neutral,IDN:maize,0.0,0.0
neutral,IDN:palm,0.0,0.0
neutral,IDN:rice,0.0,0.0
neutral,IDN:sugar,0.0,0.0
neutral,MYS:cocoa,0.0,0.0
neutral,MYS:coconut,0.0,0.0
neutral,MYS:coffee,0.0,0.0
neutral,MYS:maize,0.0,0.0
neutral,MYS:palm,0.0,0.0
neutral,MYS:rice,0.0,0.0
neutral,MYS:sugar,0.0,0.0
neutral,PHL:cocoa,0.0,0.0
neutral,PHL:coconut,0.0,0.0
neutral,PHL:coffee,0.0,0.0
neutral,PHL:maize,0.0,0.0
neutral,PHL:palm,0.0,0.0
neutral,PHL:rice,0.0,0.0
neutral,PHL:sugar,0.0,0.0
neutral,THA:cocoa,0.0,0.0
neutral,THA:coconut,0.0,0.0
neutral,THA:coffee,0.0,0.0
neutral,THA:maize,0.0,0.0
neutral,THA:palm,0.0,0.0
neutral,THA:rice,0.0,0.0
neutral,THA:sugar,0.0,0.0
neutral,TON:coconut,0.0,0.0
neutral,VNM:coconut,0.0,0.0
neutral,VNM:coffee,0.0,0.0
neutral,VNM:maize,0.0,0.0
neutral,VNM:rice,0.0,0.0
neutral,VNM:sugar,0.0,0.0
neutral,VUT:cocoa,0.0,0.0
neutral,VUT:coconut,0.0,0.0
neutral,VUT:coffee,0.0,0.0
neutral,VUT:maize,0.0,0.0
neutral,WSM:coconut,0.0,0.0
el_nino,AUS:maize,252367.26600527763,312984.0084985995
el_nino,AUS:rice,-213413.2616438673,-180466.635004902
el_nino,AUS:sugar,3219638.8594766273,4305616.567314242
el_nino,FJI:cocoa,3850.047379207658,5038.897881556364
el_nino,FJI:coconut,34810.30113288522,21757.317361684385
el_nino,FJI:maize,22485.275679917173,20017.22822813484
el_nino,FJI:rice,9428.527081377786,12717.706121904224
el_nino,FJI:sugar,63678.59127794309,65494.79232494047
el_nino,IDN:cocoa,1636060.2908071268,4827124.338109608
el_nino,IDN:coconut,6522380.963859248,8830383.990070857
el_nino,IDN:coffee,3948458.148783398,7346984.038025581
el_nino,IDN:maize,36884879.1536665,60596017.479821846
el_nino,IDN:palm,1920913.507437352,45083654.557749026
el_nino,IDN:rice,41373071.88950844,133429303.62679963
el_nino,IDN:sugar,1291776.2918439426,2368530.0572328083
el_nino,MYS:cocoa,5263.510196082817,7110.6695345409025
el_nino,MYS:coconut,832185.6633455721,1111084.6375109586
el_nino,MYS:coffee,3249.687365488039,4924.5361616266355
el_nino,MYS:maize,-125.31900905313273,15.157459091140986
el_nino,MYS:palm,-10339063.670755493,5579627.649308271
el_nino,MYS:rice,75994.10696228906,197197.28290006513
el_nino,MYS:sugar,-51800.36223291452,-63767.82657190284
el_nino,PHL:cocoa,-10527.675199390014,39654.87766599819
el_nino,PHL:coconut,10190359.683948938,17387341.182521716
el_nino,PHL:coffee,54524.78407670728,279377.65437044133
el_nino,PHL:maize,6472733.473064767,10002867.957053855
el_nino,PHL:palm,28486.027549761922,169795.3423889622
el_nino,PHL:rice,30116020.60288446,46056327.06868222
el_nino,PHL:sugar,1019250.8181550299,1420628.1471838027
el_nino,THA:cocoa,-136.9899754812948,-150.7536085695381
el_nino,THA:coconut,1339004.1378658256,1839841.37247603
el_nino,THA:coffee,148740.43341608587,189667.22767657274
el_nino,THA:maize,5522944.310269393,7080925.739951633
el_nino,THA:palm,-1114200.8524728622,6188721.7305863025
el_nino,THA:rice,14066188.864205426,28723823.68726793
el_nino,THA:sugar,1661978.382096884,5697596.490260226
el_nino,TON:coconut,40875.1976242005,34419.59954874338
el_nino,VNM:coconut,1365888.13583192,1758039.9319146953
el_nino,VNM:coffee,3160648.018074872,5797710.359854824
el_nino,VNM:maize,4022603.324102888,5339211.763557438
el_nino,VNM:rice,26319492.87922703,42788444.464324676
el_nino,VNM:sugar,-1139720.6046578342,-1117550.5619230408
el_nino,VUT:cocoa,-37118.5892446116,-36994.62628470516
el_nino,VUT:coconut,119256.35389810072,128609.98976431585
el_nino,VUT:coffee,-124.0814910244908,-111.45191019983626
el_nino,VUT:maize,2607.0260782144137,2634.468834388063
el_nino,WSM:coconut,23498.882857522913,42005.02416049192
la_nina,AUS:maize,181946.9874879511,357958.02964432834
la_nina,AUS:rice,-862513.8045753121,-512316.93387267663
la_nina,AUS:sugar,2370621.7619349617,3255909.2456278442
la_nina,FJI:cocoa,4511.777228644891,2707.430298195319
la_nina,FJI:coconut,75470.0292357286,36322.74484826278
la_nina,FJI:maize,5276.711914253692,-2970.17786113012
la_nina,FJI:rice,-646.8349992764665,-1397.5916578854592
la_nina,FJI:sugar,36711.40638042691,43940.09576603008
la_nina,IDN:cocoa,-1386816.788763031,3002174.214068407
la_nina,IDN:coconut,-1134439.601975524,-853793.3873198015
la_nina,IDN:coffee,249491.7371610835,7845451.730116083
la_nina,IDN:maize,-6282270.716804807,18202159.51172118
la_nina,IDN:palm,-24755529.568615664,13886839.844279325
la_nina,IDN:rice,-36059696.48138814,115868530.2247963
la_nina,IDN:sugar,-1374193.1561571083,-1485198.9954878907
la_nina,MYS:cocoa,-525.9183681489609,-1620.14913866656
la_nina,MYS:coconut,-777971.5317684003,-321662.78473037836
la_nina,MYS:coffee,-1250.642456816856,-4430.246878424421
la_nina,MYS:maize,-305.2165133651736,-298.62018442655136
la_nina,MYS:palm,-24204443.4632613,-12204289.502268597
la_nina,MYS:rice,108453.64724281822,283085.8849320692
la_nina,MYS:sugar,-31537.891955962896,-33353.29523331291
la_nina,PHL:cocoa,126915.1479308464,179904.1819949273
la_nina,PHL:coconut,-3575081.9001075057,4653148.022562968
la_nina,PHL:coffee,308561.7475932949,531657.1188427213
la_nina,PHL:maize,-1723396.1467685585,4578199.378930702
la_nina,PHL:palm,-411014.6423717089,-247225.85305610287
la_nina,PHL:rice,-4322249.588013655,12380768.738382397
la_nina,PHL:sugar,-407743.91545509576,516345.1605175282
la_nina,THA:cocoa,-166.71664658443112,-373.3749960709382
la_nina,THA:coconut,-530441.5479057244,50454.20006621032
la_nina,THA:coffee,-74505.1658373218,-67054.16290011912
la_nina,THA:maize,-1824260.94428809,-349585.7791453085
la_nina,THA:palm,-12256792.347539108,-3915172.642326497
la_nina,THA:rice,-10419814.412316913,11093330.379801363
la_nina,THA:sugar,-9830683.323385166,-7202358.472261314
la_nina,TON:coconut,-79506.71597040132,-79509.11222572383
la_nina,VNM:coconut,628059.9417438316,707447.2676574579
la_nina,VNM:coffee,-5927518.461653047,-4006048.573990147
la_nina,VNM:maize,-2850541.3562225713,592278.503566712
la_nina,VNM:rice,-32252659.83106376,-14690906.198230738
la_nina,VNM:sugar,-1662943.6666908914,-1052163.0662885117
la_nina,VUT:cocoa,9700.55305876041,12737.320094888408
la_nina,VUT:coconut,22382.221736701882,27581.0258182471
la_nina,VUT:coffee,124.2357083177934,69.52087812932182
la_nina,VUT:maize,200.4253302322559,414.59692608197196
